NODE	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	
ADDYAG_Agabus_ramblae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N25	6.22816e-07	8.62157e-07	1.53897e-06	3.12269e-06	6.67112e-06	1.44218e-05	3.09081e-05	6.49322e-05	0.000132821	0.000263394	0.000504874	0.000933385	0.00166165	0.00284509	0.00468091	0.00739519	0.0112135	0.0163141	0.0227685	0.0304809	0.0391441	0.0482318	0.0570383	0.0647702	0.0706728	0.0741645	0.0749463	0.0730546	0.0688467	0.0629231	0.0560106	0.0488372	0.0420296	0.0360516	0.0311886	0.0275687	0.0252039	
N26	1.35047e-08	1.83952e-08	3.29793e-08	6.98193e-08	1.60678e-07	3.81918e-07	9.10422e-07	2.14064e-06	4.91765e-06	1.09779e-05	2.37387e-05	4.96324e-05	0.000100225	0.000195353	0.000367403	0.000666616	0.0011668	0.00197026	0.00320999	0.00504681	0.00765893	0.0112227	0.0158846	0.0217281	0.0287407	0.036789	0.0456103	0.0548251	0.0639715	0.0725567	0.0801151	0.0862605	0.0907222	0.0933576	0.0941412	0.0931367	0.0904625	
N27	1.19318e-08	1.61506e-08	2.88365e-08	6.12216e-08	1.4207e-07	3.41361e-07	8.22884e-07	1.95525e-06	4.53466e-06	1.02093e-05	2.2245e-05	4.68279e-05	9.51462e-05	0.000186493	0.000352531	0.000642606	0.00112954	0.0019147	0.00313041	0.00493735	0.00751445	0.0110398	0.0156628	0.0214712	0.0284573	0.0364935	0.0453225	0.0545697	0.0637763	0.0724499	0.0801221	0.0863999	0.0910014	0.0937695	0.094663	0.0937306	0.09108	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
N28	0.000732606	0.000797215	0.000973187	0.00129177	0.0018045	0.00258312	0.0037184	0.00531628	0.0074903	0.0103493	0.0139804	0.0184279	0.0236717	0.0296079	0.0360371	0.0426649	0.0491182	0.0549766	0.059817	0.0632657	0.0650468	0.0650212	0.0632056	0.0597692	0.0550096	0.0493101	0.0430904	0.0367565	0.0306599	0.0250713	0.0201691	0.0160433	0.0127098	0.010131	0.00823796	0.00695066	0.00619354	
ADDYAG_Platambus_sp	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N29	6.04385e-09	1.3924e-08	4.74331e-08	1.75298e-07	6.36994e-07	2.21483e-06	7.30117e-06	2.27084e-05	6.64e-05	0.000181979	0.000466241	0.00111419	0.00247873	0.00512518	0.00983547	0.0174976	0.0288298	0.0439583	0.061988	0.0808061	0.097347	0.108364	0.111466	0.10597	0.0931483	0.0757465	0.0570276	0.0397911	0.0257651	0.0155083	0.00869806	0.00456285	0.00225437	0.00106474	0.000497687	0.000249535	0.000157222	
ADDYCO_Rhantus_exsoletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N30	1.22526e-39	5.27966e-37	2.56635e-34	1.18665e-31	4.96439e-29	1.82704e-26	5.81489e-24	1.57975e-21	3.61875e-19	6.89814e-17	1.07791e-14	1.35647e-12	1.34558e-10	1.02469e-08	5.79279e-07	2.32672e-05	0.00062551	0.0103321	0.0919334	0.353107	0.395333	0.12902	0.0181782	0.00137997	6.43886e-05	2.01204e-06	4.47121e-08	7.3868e-10	9.38971e-12	9.44176e-14	7.68769e-16	5.174e-18	2.93397e-20	1.4282e-22	6.0808e-25	2.30787e-27	8.82846e-30	
ADDYCO_Colymbetes_paykulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYCO_Colymbetes_striatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N31	0.000650299	0.000675526	0.00076008	0.000914288	0.00115682	0.00151537	0.00202734	0.00273985	0.00370888	0.00499674	0.00666763	0.00878111	0.0113837	0.0144991	0.018119	0.0221948	0.0266331	0.0312957	0.0360056	0.0405592	0.0447424	0.0483513	0.0512117	0.0531972	0.0542416	0.0543438	0.0535662	0.0520247	0.0498746	0.0472929	0.0444611	0.0415494	0.0387053	0.0360462	0.0336566	0.0315883	0.029863	
N32	2.06175e-05	2.43571e-05	3.42057e-05	5.37603e-05	8.98836e-05	0.000154477	0.000267115	0.000458578	0.000775114	0.00128286	0.00207141	0.00325479	0.00496803	0.0073571	0.010561	0.0146865	0.0197773	0.0257838	0.0325397	0.0397534	0.04702	0.0538571	0.0597591	0.0642644	0.0670201	0.0678332	0.0666968	0.0637875	0.0594341	0.0540678	0.0481631	0.0421824	0.0365314	0.0315316	0.0274087	0.0242942	0.0222343	
ADDYHY_Nebrioporus_lanceolatus_M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ADDYHY_Stictotarsus_griseostriatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYHY_Hydroporus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYHY_Hydrovatus_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
