N15	3.31878e-15	1.69608e-14	1.44431e-13	1.30161e-12	1.11077e-11	8.74858e-11	6.316e-10	4.16872e-09	2.51141e-08	1.3791e-07	6.89433e-07	3.13381e-06	1.29367e-05	4.84442e-05	0.000164379	0.000504854	0.00140203	0.00351724	0.00796339	0.0162586	0.0299104	0.0495472	0.0738614	0.0990391	0.119406	0.12941	0.126067	0.1104	0.0869418	0.0616154	0.0393458	0.0226887	0.0118606	0.00566143	0.00250253	0.00105429	0.000449459	0.00021826	0.000145567	
POCUMO_Ruteria_hypocrita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	3.47602e-36	1.84755e-34	1.34375e-32	9.55503e-31	6.31928e-29	3.82229e-27	2.09968e-25	1.04322e-23	4.67242e-22	1.88032e-20	6.77612e-19	2.17886e-17	6.22745e-16	1.57556e-14	3.51299e-13	6.86996e-12	1.17224e-10	1.73549e-09	2.21573e-08	2.42334e-07	2.25412e-06	1.76926e-05	0.000116185	0.000632511	0.00282664	0.0102628	0.0299523	0.0695301	0.127109	0.181428	0.200869	0.171854	0.113567	0.0581893	0.0233535	0.00750886	0.00203914	0.000537955	0.000203854	
POCUCU_Cionus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
POCUMO_Adexius_scrobipennis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
POCUTY_Tychius_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N17	2.45509e-06	4.78176e-06	1.2454e-05	3.53372e-05	9.98578e-05	0.000270296	0.000688118	0.00163251	0.00359168	0.00730794	0.0137289	0.0237889	0.0379929	0.0558993	0.0757408	0.0944841	0.108496	0.114669	0.11154	0.0998565	0.0822833	0.0624155	0.0435911	0.0280371	0.0166121	0.00907042	0.00456583	0.00211986	0.000908321	0.000359434	0.00013148	4.45248e-05	1.39947e-05	4.10345e-06	1.13449e-06	3.02757e-07	8.21865e-08	2.56186e-08	1.21289e-08	
POCUBA_Metialma_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Scolytus_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	2.53565e-09	9.91694e-09	5.44515e-08	3.11775e-07	1.69997e-06	8.48578e-06	3.80675e-05	0.000152069	0.000538211	0.00168233	0.00463363	0.0112257	0.0238868	0.0445924	0.0729699	0.104605	0.131327	0.144393	0.139073	0.117403	0.0869351	0.0565252	0.0323113	0.0162611	0.00721635	0.00282885	0.000981391	0.000301919	8.25489e-05	2.01084e-05	4.37677e-06	8.54348e-07	1.50327e-07	2.40296e-08	3.53497e-09	4.89629e-10	6.65574e-11	9.60564e-12	1.92663e-12	
N19	1.01089e-06	1.949e-06	5.22152e-06	1.56712e-05	4.71617e-05	0.000135682	0.000365866	0.000916961	0.00212799	0.00456422	0.00903818	0.0165127	0.0278207	0.0432084	0.0618429	0.081552	0.0990669	0.110846	0.114232	0.108423	0.0947868	0.076332	0.0566326	0.0387182	0.0243988	0.0141764	0.0075976	0.00375755	0.00171597	0.000724154	0.000282717	0.000102285	3.4392e-05	1.08027e-05	3.20231e-06	9.15592e-07	2.65717e-07	8.8822e-08	4.51239e-08	
N20	1.1541e-06	2.16181e-06	5.60692e-06	1.63972e-05	4.83391e-05	0.000136671	0.000363006	0.000898026	0.00206149	0.00438343	0.00862511	0.0156948	0.0263991	0.0410302	0.0589074	0.0781055	0.0956213	0.108075	0.11276	0.108598	0.0965437	0.0792292	0.0600272	0.0419929	0.0271301	0.0161913	0.00892886	0.00455136	0.00214536	0.000935615	0.000377776	0.000141378	4.9136e-05	1.59266e-05	4.86251e-06	1.43311e-06	4.33367e-07	1.54812e-07	8.4585e-08	
POCUCE_Rhinoncus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUCE_Nedyus_quadrimaculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUCE_Zacladus_geranii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
