N24	0.173796	0.18054	0.176499	0.157276	0.124722	0.086791	0.0526178	0.0277004	0.0126474	0.0050074	0.00171998	0.000512993	0.000133005	3.00186e-05	5.90683e-06	1.01512e-06	1.52648e-07	2.0126e-08	2.33156e-09	2.37884e-10	2.14329e-11	1.71176e-12	1.22121e-13	7.96249e-15	5.21873e-16	5.81529e-17	
POCHCR_Oulema_melanopus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N25	0.25372	0.238434	0.196222	0.141043	0.0880946	0.047542	0.0220593	0.00876876	0.00297998	0.000865227	0.000214741	4.56245e-05	8.31613e-06	1.30389e-06	1.76388e-07	2.06543e-08	2.10057e-09	1.86182e-10	1.44317e-11	9.8167e-13	5.87971e-14	3.11158e-15	1.46104e-16	6.15646e-18	2.51179e-19	1.8027e-20	
POCHCR_Crioceris_paracenthesis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCR_Crioceris_asparagi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCR_Lilioceris_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N26	0.08176	0.119484	0.173349	0.207248	0.190249	0.130236	0.0655767	0.0241366	0.00648353	0.00127312	0.000183494	1.95286e-05	1.54609e-06	9.18309e-08	4.12967e-09	1.41969e-10	3.76779e-12	7.79601e-14	1.26991e-15	1.64403e-17	1.70717e-19	1.43453e-21	9.83748e-24	5.55152e-26	2.62538e-28	1.57769e-30	
N27	0.0251008	0.049775	0.0981969	0.158242	0.199831	0.194472	0.14435	0.0811998	0.0345048	0.01107	0.00268576	0.000494422	6.93932e-05	7.46922e-06	6.20705e-07	4.01161e-08	2.03198e-09	8.13085e-11	2.59091e-12	6.62753e-14	1.37177e-15	2.31544e-17	3.21239e-19	3.70015e-21	3.68204e-23	5.15128e-25	
N28	0.0987518	0.117822	0.142108	0.158727	0.155975	0.131372	0.0935952	0.0560257	0.0280909	0.011788	0.00414316	0.00122192	0.000303194	6.3497e-05	1.12643e-05	1.69919e-06	2.18835e-07	2.416e-08	2.29599e-09	1.88585e-10	1.34427e-11	8.35227e-13	4.5517e-14	2.21499e-15	1.05368e-16	8.5078e-18	
N29	0.0569785	0.0717263	0.0961851	0.124682	0.146538	0.150667	0.13296	0.0996983	0.0631979	0.0337942	0.0152411	0.00580376	0.00186985	0.000511083	0.000118891	2.36214e-05	4.0233e-06	5.89726e-07	7.46801e-08	8.20266e-09	7.84577e-10	6.56429e-11	4.83837e-12	3.21054e-13	2.1276e-14	2.44745e-15	
POCHCH_Timarcha_intricata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N30	0.00719021	0.0179204	0.0477146	0.10564	0.180017	0.226163	0.20378	0.129736	0.0582086	0.0185509	0.0042615	0.000718315	9.04973e-05	8.67434e-06	6.43095e-07	3.74352e-08	1.73446e-09	6.4755e-11	1.96989e-12	4.93243e-14	1.02596e-15	1.78789e-17	2.63274e-19	3.32135e-21	3.81711e-23	6.44131e-25	
POCHCH_Timarcha_metallica	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
