N34	4.74126e-07	0.000402141	0.0642139	0.373161	0.465591	0.0961906	0.000440666	4.01813e-07	3.1227e-11	7.95919e-16	9.26288e-21	5.79078e-26	2.98098e-31	
POSCSC_Heliocopris_sp	0	0	0	0	0	0	0	1	0	0	0	0	0	
N35	2.10338e-07	0.000151789	0.0291206	0.28051	0.535592	0.15419	0.000434578	2.08642e-07	2.96547e-11	1.69442e-15	4.70857e-20	7.18161e-25	9.38567e-30	
POSCSC_Paragymnopleurus_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCSC_Gymnopleurus_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
N36	3.38565e-05	0.00815948	0.34814	0.507433	0.133645	0.00258663	1.95692e-06	4.08577e-10	3.55577e-14	1.58109e-18	4.06498e-23	6.57469e-28	1.03175e-32	
POSCSC_Sisyphus_sp	0	0	0	0	1	0	0	0	0	0	0	0	0	
N37	9.04367e-09	8.5952e-06	0.00244223	0.0702495	0.448837	0.476507	0.00195467	5.12116e-07	3.87398e-11	1.25125e-15	2.09522e-20	2.0454e-25	1.64492e-30	
N38	1.17644e-13	1.13852e-09	3.51547e-06	0.0013992	0.0980343	0.864682	0.0358787	2.69582e-06	3.71138e-11	1.76635e-16	3.54462e-22	3.34179e-28	1.7891e-33	
POSCSC_Copris_lugubris	0	0	0	0	0	0	1	0	0	0	0	0	0	
N39	6.44099e-15	9.19604e-11	4.75504e-07	0.000431049	0.0619161	0.897848	0.0398007	3.8839e-06	6.79704e-11	4.05486e-16	1.00481e-21	1.15585e-27	7.48547e-34	
POSCSC_Paracopris_sp	0	0	0	0	0	0	1	0	0	0	0	0	0	
POSCSC_Microcopris_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCSC_Copris_sinicus	0	0	0	0	0	1	0	0	0	0	0	0	0	
N40	0.00040745	0.0499508	0.815699	0.131564	0.00236668	1.18019e-05	2.03996e-08	1.15821e-11	1.06816e-15	3.81808e-20	6.89219e-25	7.20999e-30	7.28455e-35	
POSCSC_Eurysternus_caribaeus	0	0	0	0	0	0	0	1	0	0	0	0	0	
N41	0.000818508	0.0629194	0.812447	0.122951	0.000862519	1.25998e-06	5.96068e-10	1.14531e-13	1.04175e-17	5.07612e-22	1.45854e-26	2.65953e-31	4.72478e-36	
POSCSC_Deltochilum_amazonicum	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCSC_Ontherus_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
N42	1.88246e-05	0.0168384	0.69103	0.290407	0.00170358	2.16933e-06	8.68736e-10	1.14232e-13	4.0647e-18	3.14564e-23	1.00537e-26	6.67425e-30	3.26354e-33	
N43	1.00806e-05	0.0111535	0.673246	0.314718	0.000872483	1.60252e-07	5.81428e-12	6.35386e-17	2.68341e-22	5.21236e-28	5.2009e-34	2.81322e-40	9.26014e-47	
N44	1.4848e-05	0.00840231	0.643713	0.344625	0.00324168	2.92164e-06	4.19067e-10	1.84318e-14	3.3984e-19	3.11245e-24	1.56729e-29	4.64489e-35	1.30369e-40	
POSCCH_Chiron_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
N45	4.83304e-06	0.00593294	0.632837	0.357391	0.00383332	1.17222e-06	3.95443e-11	3.32078e-16	9.94567e-22	1.30584e-27	8.51117e-34	2.96826e-40	6.23501e-47	
N46	4.81098e-06	0.00316661	0.398725	0.54595	0.0519172	0.000235952	8.29766e-08	7.20127e-12	2.35583e-16	3.59596e-21	2.89589e-26	1.3303e-31	5.46959e-37	
POSCSE_Serica_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
N47	3.37758e-07	0.000438025	0.124858	0.678642	0.193318	0.002742	1.43851e-06	8.114e-11	1.32329e-15	8.97949e-21	2.98998e-26	5.19293e-32	2.71382e-37	
N48	2.5161e-06	0.000628886	0.0533046	0.707429	0.229478	0.00914133	1.4888e-05	6.67933e-09	1.23879e-12	1.16468e-16	6.29451e-21	2.13227e-25	7.17146e-30	
POSCME_Apogonia_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCME_Hoplia_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
N49	3.17351e-08	7.9172e-05	0.0440423	0.508199	0.423963	0.0236511	6.56442e-05	1.29552e-08	3.1349e-13	2.03216e-18	4.75178e-24	4.36957e-30	1.98939e-36	
N50	2.86482e-09	2.1945e-06	0.000675952	0.0380293	0.330283	0.575223	0.0550308	0.000755123	5.57136e-07	1.22971e-10	1.18456e-14	6.01773e-19	2.81769e-23	
POSCME_Phyllophaga_delata_M	0	0	0	0	0	0	0	1	0	0	0	0	0	
N51	2.46346e-14	1.32285e-10	3.13902e-07	0.000235508	0.0357525	0.883614	0.0803687	2.94568e-05	2.39994e-09	7.05223e-14	9.51501e-19	6.81961e-24	3.63459e-29	
POSCME_Phyllophaga_drakii	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCME_Phyllophaga_fusca	0	0	0	0	0	0	1	0	0	0	0	0	0	
N52	3.48773e-09	1.03849e-05	0.00877104	0.264786	0.625834	0.0984034	0.00218819	6.82798e-06	1.23439e-09	2.87793e-14	2.10475e-19	6.55708e-25	1.21069e-30	
N53	2.05077e-09	2.68227e-06	0.00139806	0.0716553	0.383897	0.407702	0.125607	0.00967802	5.98638e-05	3.14701e-08	5.00096e-12	3.47579e-16	2.49911e-20	
POSCME_Haplidia_sp	0	0	0	0	0	0	0	1	0	0	0	0	0	
POSCME_Schizonycha_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	
N54	2.14496e-08	1.32836e-05	0.00320601	0.148244	0.691457	0.150972	0.00605383	5.32788e-05	3.8791e-08	8.98158e-12	9.28726e-16	5.11872e-20	2.76182e-24	
POSCME_Amphimallon_solstitiale	0	0	0	0	1	0	0	0	0	0	0	0	0	
POSCME_Melolontha_sp	0	0	0	0	0	0	0	1	0	0	0	0	0	
N55	1.05418e-05	0.00991529	0.65212	0.331978	0.0059556	1.9901e-05	1.84651e-08	4.7949e-12	2.18305e-16	2.73703e-21	1.15663e-26	2.15134e-32	2.48813e-38	
N56	0.000127385	0.0453503	0.814079	0.139969	0.000473813	1.51736e-07	7.6249e-12	1.09185e-16	6.12819e-22	1.63213e-27	2.33016e-33	1.93361e-39	1.10002e-45	
N57	0.000202443	0.0414957	0.795098	0.160879	0.00231912	5.76493e-06	1.42998e-09	7.90992e-14	1.67419e-18	1.70588e-23	9.48544e-29	3.10503e-34	7.96068e-40	
N58	0.00110204	0.0805785	0.904385	0.0139103	2.38801e-05	1.10345e-08	2.01363e-12	1.79396e-16	8.92153e-21	2.71556e-25	5.40995e-30	7.42506e-35	9.99917e-40	
POSCRU_Adoretus_lasiopygus	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCRU_Adoretus_versutus	0	0	1	0	0	0	0	0	0	0	0	0	0	
N59	1.32051e-05	0.00262246	0.115037	0.408688	0.384988	0.0873165	0.00133281	1.45839e-06	4.76592e-10	6.79333e-14	5.10659e-18	2.27761e-22	1.0668e-26	
POSCCE_Protaetia_cuprea	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCCE_Trichius_zonatus	0	0	0	0	0	0	1	0	0	0	0	0	0	
N60	0.000805601	0.146256	0.793523	0.059394	2.17003e-05	1.38861e-09	2.91805e-14	2.68982e-19	1.28441e-24	3.53479e-30	6.03152e-36	6.72248e-42	5.78124e-48	
