POTEPI_Pimelia_radula	0	1	0	0	0	0	0	
N51	1.36651e-08	1	8.37085e-25	8.75061e-50	1.48911e-73	2.74042e-95	9.30596e-65	
N52	4.0244e-10	1	6.28862e-25	4.9409e-50	6.91098e-57	4.8457e-68	8.85477e-38	
POTEPI_Pimelia_laevigata_costipennis	0	1	0	0	0	0	0	
N53	5.0715e-11	1	1.75357e-25	3.84103e-51	2.58376e-77	1.67584e-112	1.32862e-47	
POTEPI_Pimelia_laevigata_validipes	0	1	0	0	0	0	0	
POTEPI_Pimelia_laevigata_laevigata	0	1	0	0	0	0	0	
N54	1.81906e-09	1	2.42926e-24	7.37606e-49	6.6491e-74	2.42788e-99	7.6494e-125	
POTEPI_Pimelia_ascendens	0	1	0	0	0	0	0	
POTEPI_Pimelia_canariensis	0	1	0	0	0	0	0	
N55	1.41779e-05	0.999986	5.13567e-11	2.15384e-34	1.58957e-58	4.29674e-92	4.75727e-115	
N56	1.43862e-06	0.999999	2.95185e-10	1.69508e-33	1.59729e-57	4.92187e-82	7.99545e-107	
N57	1.56079e-07	1	3.39418e-10	1.31549e-32	1.64856e-56	1.06843e-54	1.29073e-65	
POTEPI_Pimelia_boyeri	0	0	1	0	0	0	0	
N58	1.17899e-08	1	3.38238e-10	8.92707e-22	3.63147e-46	7.20065e-71	1.38007e-81	
POTEPI_Pimelia_atlantis_frigioides	0	1	0	0	0	0	0	
N59	6.30853e-13	0.00234369	0.127672	0.869984	2.44668e-25	1.4888e-50	5.19121e-85	
POTEPI_Pimelia_atlantis_atlantis	0	0	0	1	0	0	0	
POTEPI_Pimelia_mauritanica	0	0	0	1	0	0	0	
N60	3.58295e-08	0.220419	0.779581	5.28693e-24	5.96485e-48	2.26957e-72	4.39948e-97	
POTEPI_Pimelia_maura	0	0	1	0	0	0	0	
POTEPI_Pimelia_rugosa	0	0	1	0	0	0	0	
POTEPI_Pimelia_scabrosa	0	0	1	0	0	0	0	
N61	6.52986e-13	9.13838e-08	0.00012163	0.0304146	0.969464	6.7531e-23	3.13936e-41	
N62	1.61923e-13	3.73438e-08	7.48691e-05	0.0256053	0.97432	1.98046e-13	2.76665e-38	
POTETE_Uloma_sp	0	0	0	0	0	1	0	
POTEAL_Alleculinae_sp	0	0	0	0	1	0	0	
POTEDI_Diaperis_boleti	0	0	0	0	1	0	0	
