N14	1.97879e-44	1.94301e-42	3.24255e-40	5.14843e-38	7.30847e-36	9.19597e-34	1.0222e-31	1.00095e-29	8.61e-28	6.4875e-26	4.26946e-24	2.44687e-22	1.21756e-20	5.24435e-19	1.94928e-17	6.2329e-16	1.70912e-14	4.00638e-13	8.00297e-12	1.35798e-10	1.95125e-09	2.36671e-08	2.41576e-07	2.06881e-06	1.48206e-05	8.85621e-05	0.00044024	0.00181584	0.0062	0.0174875	0.0406759	0.0779243	0.12288	0.159567	0.170966	0.151858	0.11297	0.0719857	0.0413341	0.02379	
N15	4.62993e-30	9.62188e-29	4.07866e-27	1.71256e-25	6.57557e-24	2.28433e-22	7.15519e-21	2.01534e-19	5.09079e-18	1.15014e-16	2.31761e-15	4.15357e-14	6.60149e-13	9.27755e-12	1.14952e-10	1.25202e-09	1.19519e-08	9.97092e-08	7.2488e-07	4.57964e-06	2.50774e-05	0.000118723	0.000484829	0.00170424	0.00514714	0.0133358	0.0296043	0.0562587	0.0914751	0.127248	0.151484	0.154451	0.135038	0.10142	0.065588	0.0366515	0.0178179	0.00767112	0.00309327	0.00137726	
POCUEN_Brachyderes_incanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	1.48208e-38	1.14065e-36	1.49808e-34	1.83831e-32	2.02843e-30	2.00092e-28	1.75759e-26	1.36921e-24	9.41935e-23	5.696e-21	3.01287e-19	1.38662e-17	5.52121e-16	1.89046e-14	5.52983e-13	1.37222e-11	2.86711e-10	5.00401e-09	7.23454e-08	8.58932e-07	8.30142e-06	6.47537e-05	0.000404407	0.00200805	0.00788294	0.0243656	0.0591395	0.112542	0.16779	0.195972	0.179411	0.128937	0.0729431	0.0326313	0.0116204	0.00332474	0.000774226	0.000149923	2.55137e-05	4.95058e-06	
POCUEN_Strophosoma_capitatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUEN_Strophosoma_melanogrammum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N17	1.58727e-30	2.76517e-29	8.66959e-28	2.99522e-26	1.00219e-24	3.11296e-23	8.84251e-22	2.28271e-20	5.33734e-19	1.12752e-17	2.14731e-16	3.6789e-15	5.65813e-14	7.79529e-13	9.59969e-12	1.05438e-10	1.03059e-09	8.94436e-09	6.87706e-08	4.6736e-07	2.80088e-06	1.47681e-05	6.83502e-05	0.000277038	0.00098116	0.00302956	0.00813833	0.018982	0.038372	0.067125	0.101494	0.132555	0.14954	0.14587	0.123318	0.0907398	0.058546	0.0335997	0.0177677	0.00957858	
POCUEN_Sitona_lineatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
POCUEN_Sitona_hispidulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUEN_Otiorhynchus_armadillo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N18	7.87444e-32	8.89441e-31	2.01208e-29	5.18565e-28	1.31034e-26	3.1181e-25	6.91125e-24	1.42162e-22	2.70857e-21	4.77295e-20	7.76822e-19	1.16611e-17	1.61225e-16	2.05012e-15	2.39416e-14	2.56397e-13	2.51429e-12	2.25427e-11	1.84512e-10	1.37661e-09	9.34761e-09	5.76801e-08	3.22944e-07	1.63813e-06	7.51696e-06	3.11586e-05	0.000116503	0.000392402	0.00118902	0.00323721	0.00790985	0.0173259	0.0339846	0.0596249	0.0934429	0.130563	0.162157	0.178049	0.171064	0.140903	
POCUEN_Chlorophanus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POCUEN_Dyslobus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
