Bembidion,Calathus,Carabidae,Carabus,Cerambycidae,Chrysolina,Chrysomelidae,Cicindela,Timarcha,Tenebrionidae,Scarabaeidae,Pterostichus,Pimelia,Lampyridae,Ips,Harpalus,Elateridae,Dytiscidae,Diabrotica,Dendroctonus,Cytronus,Curculionidae,Coccinellidae
ADCATR_Bembidion_concolor,ADCAHA_Calathus_granatensis,ADCACA_Carabus_fruhstorferi,ADCACA_Carabus_melancholicus,POCECE_Stenygra_sp,POCHCH_Chrysolina_fastuosa,POCHBR_Callosobruchus_subinnotatus,ADCACI_Cicindela_tranquebarica,POCHCH_Timarcha_granadensis,POTEPI_Pimelia_costata,POSCAP_Aphodius_fimetarius,ADCAHA_Pterostichus_niger,POTEPI_Pimelia_estevezi,POLALU_Luciola_lateralis,POCUSC_Ips_integer,ADCAHA_Harpalus_pennsylvanicus,POELEL_Elater_sp,ADDYAG_Ilybius_erichsoni,POCHGA_Diabrotica_tibialis,POCUSC_Dendroctonus_simplex,POCHCH_Cyrtonus_puncticeps,POCUCU_Anthonomus_sp,POCOCO_Coccinella_septempunctata
ADCATR_Bembidion_confusum,ADCAHA_Calathus_melanocephalus,ADCACA_Carabus_granulatus,ADCACA_Carabus_monticola,POCECE_Xylotrechus_sp,POCHCH_Chrysolina_femoralis,POCHBR_Conicobruchus,ADCACI_Ctenostoma_sp,POCHCH_Timarcha_hispanica,POTEPI_Pimelia_criba,POSCAP_Aphodius_foetens,ADCAHA_Pterostichus_nigrita,POTEPI_Pimelia_fernandezlopezi,POLAPH_Bicellonycha_sp,POCUSC_Ips_knausi,ADCAHA_Harpalus_rubripes,POELME_Melanotus_sp,ADDYAG_Ilybius_fuliginosus,POCHGA_Diabrotica_undecimpunctata,POCUSC_Dendroctonus_terebrans,POCHCH_Cyrtonus_rotundatus,POCUCU_Cionus_sp,POCOCO_Coelophora_sp
ADCATR_Bembidion_coxendix,ADCAHA_Calathus_micropterus,ADCACA_Carabus_hispanus,ADCACA_Carabus_nemoralis,POCEDI_Distenia_sp,POCHCH_Chrysolina_gemina,POCHBR_Pachymerus_sp,ADCACI_Cylindera_cognata,POCHCH_Timarcha_insparsa,POTEPI_Pimelia_echidna,POSCAP_Aphodius_foetidus,ADCAHA_Pterostichus_oblongopunctatus,POTEPI_Pimelia_granulicollis,POLAPH_Photuris_sp,POCUSC_Ips_latidens,ADCAHA_Harpalus_serripes,,ADDYAG_Ilybius_guttiger,,POCUSC_Dendroctonus_valens,POCHCH_Cyrtonus_ruficornis,POCUCU_Curculio_dentipes,POCOCO_Coleomegilla_maculata
ADCATR_Bembidion_decorum,ADCAHA_Calathus_mollis,ADCACA_Carabus_hortensis,ADCACA_Carabus_problematicus,POCELA_Acalolepta_fraudatrix,POCHCH_Chrysolina_geminata,POCHBR_Spermophagus_sp,ADCACI_Ellipsoptera_marginata,POCHCH_Timarcha_intermedia,POTEPI_Pimelia_elevata,POSCAP_Aphodius_fossor,ADCAHA_Pterostichus_spinolae,POTEPI_Pimelia_integra,,POCUSC_Ips_lecontei,ADCAHA_Harpalus_wagneri,,ADDYAG_Ilybius_quadriguttatus,,,,POCUCU_Curculio_distinguendus,POCOCO_Cycloneda_sanguinea
ADCATR_Bembidion_honestum,ADCAHA_Calathus_rectus,ADCACA_Carabus_lineatus,ADCACA_Carabus_punctatoauratus,POCELA_Acalolepta_luxuriosa,POCHCH_Chrysolina_graminis,POCHBR_Zabrotes_subfasciatus,ADCACI_Lophyra_sp,POCHCH_Timarcha_interstitialis,POTEPI_Pimelia_estevezi,POSCAP_Aphodius_haemorrhoidalis,ADCAHA_Pterostichus_ziegleri,POTEPI_Pimelia_interjecta,,POCUSC_Ips_montanus,,,ADDYAG_Ilybius_subaeneus,,,,POCUCU_Curculio_nucum_M,POCOCO_Epilachna_sp
ADCATR_Bembidion_inaequale,ADCAHA_Calathus_rotundatus,ADCACA_Carabus_melancholicus,ADCACA_Carabus_rutilans,POCELA_Agapanthia_daurica,POCHCH_Chrysolina_grossa,POCHCA_Agroiconota_propinqua,ADCACI_Lophyridia_lunulata,POCHCH_Timarcha_intricata,POTEPI_Pimelia_fernandezlopezi,POSCAP_Aphodius_luridus,,POTEPI_Pimelia_laevigata_costipennis,,POCUSC_Ips_paraconfusus,,,ADDYAG_Ilybius_vittiger,,,,POCUCU_Dorytomus_sp,POCOCO_Hippodamia_convergens
ADCATR_Bembidion_insulatum,,ADCACA_Carabus_monticola,ADCACA_Carabus_solieri,POCELA_Anoplophora_chinensis,POCHCH_Chrysolina_haemoptera,POCHCA_Aspidomorpha_sp,ADCACI_Mantichora_amygdaloides,POCHCH_Timarcha_lugens,POTEPI_Pimelia_granulicollis,POSCAP_Aphodius_moestus,,POTEPI_Pimelia_laevigata_laevigata,,POCUSC_Ips_perroti,,,ADDYAG_Ilybius_wasastjernae,,,,POCUCU_Gymnetron_antirhini,POCOCO_Hippodamia_quinquesignata
ADCATR_Bembidion_integrum,,ADCACA_Carabus_nemoralis,ADCACA_Carabus_splendens,POCELA_Anoplophora_malasiaca,POCHCH_Chrysolina_herbacea,POCHCA_Baliosus_sp,ADCACI_Megacephala_brasiliensis,POCHCH_Timarcha_marginicollis,POTEPI_Pimelia_integra,POSCAP_Aphodius_obliteratus,,POTEPI_Pimelia_laevigata_validipes,,POCUSC_Ips_perturbatus,,,ADDYAG_Platambus_sp,,,,POCUCU_Gymnetron_tetrum,POCOCO_Illeis_sp
ADCATR_Bembidion_lampros,,ADCACA_Carabus_problematicus,ADCACA_Carabus_violaceus,POCELA_Apomecyna_sp,POCHCH_Chrysolina_lucida,POCHCA_Cassida_fuscorufa,ADCACI_Megacephala_sobrina,POCHCH_Timarcha_maritima,POTEPI_Pimelia_interjecta,POSCAP_Aphodius_paykulli,,POTEPI_Pimelia_lutaria,,POCUSC_Ips_pilifrons,,,ADDYCO_Colymbetes_paykulli,,,,POCUCU_Rhynchaenus_sp,POCOCO_Micraspis_sp
ADCATR_Bembidion_lapponicum,,ADCACA_Carabus_punctatoauratus,,POCELA_Apriona_japonica,POCHCH_Chrysolina_marginata,POCHCA_Cassida_rubiginosa,ADCACI_Megacephala_whelani,POCHCH_Timarcha_metallica,POTEPI_Pimelia_laevigata_costipennis,POSCAP_Aphodius_pedellus,,POTEPI_Pimelia_maura,,POCUSC_Ips_pini,,,ADDYCO_Colymbetes_striatus,,,,POCUDR_Cosmopolites_sordidus,POCOCO_Olla_sp
ADCATR_Bembidion_levettei,,ADCACA_Carabus_rutilans,,POCELA_Batocera_rubus,POCHCH_Chrysolina_obsoleta,POCHCA_Chalepus_sp,ADCACI_Myriochile_undulata,POCHCH_Timarcha_montserratensis,POTEPI_Pimelia_laevigata_laevigata,POSCAP_Aphodius_prodromus,,POTEPI_Pimelia_mauritanica,,POCUSC_Ips_plastographus,,,ADDYCO_Rhantus_exsoletus,,,,POCUDR_Diocalandra_sp,POCOCO_Psyllobora_sp
ADCATR_Bembidion_levettei_carrianum,,ADCACA_Carabus_solieri,,POCELA_Epiglenea_comes,POCHCH_Chrysolina_peregrina,POCHCA_Charidotella_sexpunctata,ADCACI_Omus_californicus,POCHCH_Timarcha_perezi,POTEPI_Pimelia_laevigata_validipes,POSCAP_Aphodius_rufus,,POTEPI_Pimelia_monticola,,POCUSC_Ips_sexdentatus,,,ADDYDY_Cybister_japonicus,,,,POCUDR_Metamasius_hemipterus,POCOCO_Rhyzobius_sp
ADCATR_Bembidion_levigatum,,ADCACA_Carabus_splendens,,POCELA_Glenea_sp,POCHCH_Chrysolina_polita,POCHCA_Chelymorpha_sp,ADCACI_Oxycheila_sp,POCHCH_Timarcha_pimelioides,POTEPI_Pimelia_lutaria,POSCAP_Aphodius_sphacelatus,,POTEPI_Pimelia_radula,,POCUSC_Ips_spinifer,,,ADDYDY_Cybister_lateralimarginalis,,,,POCUDR_Rhynchophorus_ferrugineus,POCOCO_Sumnius_sp
ADCATR_Bembidion_louisella,,ADCACA_Carabus_violaceus,,POCELA_Leiopus_sp,POCHCH_Chrysolina_timarchoides,POCHCA_Coptocycla_adamantina,ADCACI_Pentacomia_sp,POCHCH_Timarcha_recticollis,POTEPI_Pimelia_maura,POSCAP_Aphodius_sticticus,,POTEPI_Pimelia_rugosa,,POCUSC_Ips_tridens,,,ADDYDY_Cybister_sugillatus,,,,POCUDR_Sitophilus_granarius,POCOMI_Microweisea_sp
ADCATR_Bembidion_mexicanum,,ADCACA_Cychrus_caraboides,,POCELA_Mecynippus_pubicornis,POCHCH_Chrysolina_varians,POCHCA_Dactylispa_sp,ADCACI_Prothyma_sp,POCHCH_Timarcha_rugosa,POTEPI_Pimelia_mauritanica,POSCAP_Aphodius_vittatus,,POTEPI_Pimelia_scabrosa,,POCUSC_Ips_typographus,,,ADDYDY_Cybister_tripunctatus,,,,POCUDR_Sitophilus_oryzae,POCOOR_Cryptolaemus_montrouzieri
ADCATR_Bembidion_obtusum,,ADCACA_Pamborus_alternans,,POCELA_Mesechthistatus_binodosus,POCHCH_Chrysolina_viridana,POCHCA_Deloyala_guttata,ADCACI_Taenidia_circumdata,POCHCH_Timarcha_scabripennis,POTEPI_Pimelia_monticola,POSCAP_Ataenius_sp,,POTEPI_Pimelia_sparsa_albohumeralis,,POCUSC_Ips_woodi,,,ADDYDY_Dytiscus_circumcinctus,,,,POCUDR_Sitophilus_zeamais,POCOOR_Rodolia_cardinalis
ADCATR_Bembidion_planatum,,ADCACA_Pamborus_opacus,,POCELA_Mesosa_myops,,POCHCA_Dicladispa_testacea,ADCACI_Therates_sp,POCHCH_Timarcha_sinuaticollis,POTEPI_Pimelia_radula,POSCAP_Psammodius_sp,,POTEPI_Pimelia_sparsa_serrimargo,,,,,ADDYDY_Dytiscus_dauricus,,,,POCUDR_Sphenophorus_sp,POCOSC_Cryptognatha_sp
ADCATR_Bembidion_properans,,ADCACA_Pamborus_tropicus,,POCELA_Monochamus_galloprovincialis_M,,POCHCA_Hilarocassis_sp,,POCHCH_Timarcha_strangulata,POTEPI_Pimelia_rugosa,POSCCE_Cetonia_aurata,,POTEPI_Pimelia_sparsa_sparsa,,,,,ADDYDY_Dytiscus_marginalis_M,,,,POCUEN_Barypeithes_sp,POCOSC_Hyperaspis_lateralis
ADCATR_Bembidion_punctulatum,,ADCACI_Amblycheila_baroni,,POCELA_Monochamus_saltuarius,,POCHCA_Laccoptera_sp,,POCHCH_Timarcha_tenebricosa,POTEPI_Pimelia_scabrosa,POSCCE_Cremastocheilus_sp,,POTEPI_Pimelia_variolosa,,,,,ADDYDY_Eretes_sticticus,,,,POCUEN_Bothrometopus_sp,POCOSC_Scymnus_nubilus
ADCATR_Bembidion_quadrimaculatum,,ADCACI_Cicindela_aurulenta,,POCELA_Monochamus_sartor,,POCHCA_Microrhopala_vittata,,POCHCH_Timarcha_ventricosa,POTEPI_Pimelia_sparsa_albohumeralis,POSCCE_Oxythyrea_sp,,,,,,,ADDYHY_Hydroporus_sp,,,,POCUEN_Brachyderes_incanus,POCOST_Prodilis_sp
ADCATR_Bembidion_rapidum,,ADCACI_Cicindela_dorsalis,,POCELA_Monochamus_sutor,,POCHCA_Notosacantha_sp,,,POTEPI_Pimelia_sparsa_serrimargo,POSCCE_Protaetia_cuprea,,,,,,,ADDYHY_Hydrovatus_sp,,,,POCUEN_Centricnemus_leucogrammus,
ADCATR_Bembidion_rothfelsi,,ADCACI_Cicindela_hybrida,,POCELA_Monochamus_urussovi,,POCHCA_Octotoma_scabripennis,,,POTEPI_Pimelia_sparsa_sparsa,POSCCE_Trichius_zonatus,,,,,,,ADDYHY_Nebrioporus_lanceolatus_M,,,,POCUEN_Chlorophanus_sp,
ADCATR_Bembidion_ruficorne,,ADCACI_Cicindela_marutha,,POCELA_Oberea_sp,,POCHCA_Stolas_sp,,,POTEPI_Pimelia_variolosa,POSCCE_Tropinota_sp,,,,,,,ADDYHY_Stictotarsus_griseostriatus,,,,POCUEN_Dyslobus_sp,
ADCATR_Bembidion_rufotinctum,,ADCACI_Cicindela_punctulata,,POCELA_Phaea_sp,,POCHCH_Calligrapha_alni,,,POTEPI_Stenosis_sp,POSCCH_Chiron_sp,,,,,,,,,,,POCUEN_Eudiagogus_sp,
ADCATR_Bembidion_sejunctum,,ADCACI_Cicindela_repanda,,POCELA_Phytoecia_sp,,POCHCH_Calligrapha_amator,,,POTEPI_Tentyria_rotundata,POSCDY_Cyclocephala_sp,,,,,,,,,,,POCUEN_Foucartia_squamulata,
ADCATR_Bembidion_tairuense,,ADCACI_Cicindela_sedecimpunctata,,POCELA_Pogonocherus_hispidus,,POCHCH_Calligrapha_bidenticola,,,POTEPI_Tentyria_schaumi,POSCDY_Dynastes_sp,,,,,,,,,,,POCUEN_Hypera_nigrirostris,
ADCATR_Bembidion_tetracolum,,ADCACI_Cicindela_sexguttata,,POCELA_Pterolophia_sp,,POCHCH_Calligrapha_californica,,,POTEPI_Zophosis_sp,POSCDY_Oryctes_nasicornis,,,,,,,,,,,POCUEN_Hypera_postica,
ADCATR_Bembidion_tibiale,,ADCACI_Cicindela_splendida,,POCELA_Saperda_sp,,POCHCH_Calligrapha_confluens,,,POTETE_Blaps_sp,POSCDY_Pentodon_sp,,,,,,,,,,,POCUEN_Hypomeces_squamosus,
ADCATR_Bembidion_transversale,,ADCACI_Cicindela_tranquebarica,,POCELA_Tetraopes_femoratus,,POCHCH_Calligrapha_fulvipes,,,POTETE_Gonocephalum_sp,POSCDY_Phyllognathus_dionysius,,,,,,,,,,,POCUEN_Liophloeus_tessulatus,
ADCATR_Bembidion_umbratum,,ADCACI_Ctenostoma_sp,,POCELA_Tetraopes_tetropthalmus,,POCHCH_Calligrapha_multipunctata,,,POTETE_Hegeter_amaroides,POSCHY_Hybosorus_sp,,,,,,,,,,,POCUEN_Naupactus_xanthographus,
,,ADCACI_Cylindera_cognata,,POCELA_Uraecha_bimaculata,,POCHCH_Calligrapha_philadelphica,,,POTETE_Hegeter_brevicollis,POSCME_Amphimallon_solstitiale,,,,,,,,,,,POCUEN_Otiorhynchus_armadillo,
,,ADCACI_Ellipsoptera_marginata,,POCELA_Xenolea_sp,,POCHCH_Calligrapha_polyspila,,,POTETE_Hegeter_costipennis,POSCME_Apogonia_sp,,,,,,,,,,,POCUEN_Phyllobius_argentatus,
,,ADCACI_Lophyra_sp,,POCELE_Acmaeops_sp,,POCHCH_Calligrapha_rowena,,,POTETE_Hegeter_fernandezi,POSCME_Haplidia_sp,,,,,,,,,,,POCUEN_Phyllobius_pyri,
,,ADCACI_Lophyridia_lunulata,,POCELE_Gaurotes_sp,,POCHCH_Calligrapha_scalaris,,,POTETE_Hegeter_grancanariensis,POSCME_Hoplia_sp,,,,,,,,,,,POCUEN_Polydrusus_inustus,
,,ADCACI_Mantichora_amygdaloides,,POCELE_Leptura_sp,,POCHCH_Chlamisus_sp,,,POTETE_Hegeter_lateralis,POSCME_Melolontha_sp,,,,,,,,,,,POCUEN_Polydrusus_mollis_M,
,,ADCACI_Megacephala_brasiliensis,,POCELE_Rhagium_mordax,,POCHCH_Chrysolina_affinis,,,POTETE_Hegeter_politus,POSCME_Phyllophaga_delata_M,,,,,,,,,,,POCUEN_Scepticus_griseus,
,,ADCACI_Megacephala_sobrina,,POCEPR_Macrotoma_sp,,POCHCH_Chrysolina_americana,,,POTETE_Hegeter_tenuipunctatus,POSCME_Phyllophaga_drakii,,,,,,,,,,,POCUEN_Scepticus_insularis,
,,ADCACI_Megacephala_whelani,,POCEPR_Prionus_sp,,POCHCH_Chrysolina_aurichalcea,,,POTETE_Hegeter_transversus,POSCME_Phyllophaga_fusca,,,,,,,,,,,POCUEN_Sitona_hispidulus,
,,ADCACI_Myriochile_undulata,,POCESP_Asemum_striatum,,POCHCH_Chrysolina_bicolor,,,POTETE_Latheticus_oryzae,POSCME_Schizonycha_sp,,,,,,,,,,,POCUEN_Sitona_lineatus,
,,ADCACI_Omus_californicus,,POCESP_Spondylis_sp,,POCHCH_Chrysolina_carnifex,,,POTETE_Opatroides_sp,POSCRU_Adoretus_lasiopygus,,,,,,,,,,,POCUEN_Strophosoma_capitatum,
,,ADCACI_Oxycheila_sp,,POCESP_Tetropium_castaneum,,POCHCH_Chrysolina_cerealis,,,POTETE_Palorus_sp,POSCRU_Adoretus_versutus,,,,,,,,,,,POCUEN_Strophosoma_melanogrammum,
,,ADCACI_Pentacomia_sp,,POCESP_Tetropium_fuscum,,POCHCH_Chrysolina_coerulans,,,POTETE_Phaleria_sp,POSCRU_Anomala_bengalensis,,,,,,,,,,,POCUEN_Sympiezomias_cribricollis,
,,ADCACI_Prothyma_sp,,POCESP_Tetropium_gabrieli,,POCHCH_Chrysolina_colasi,,,POTETE_Probaticus_sp,POSCRU_Anomala_dorsalis,,,,,,,,,,,POCUEN_Tanymecus_sp,
,,ADCACI_Taenidia_circumdata,,,,POCHCH_Chrysolina_curvilinea,,,POTETE_Tenebrio_molitor,POSCRU_Anomala_polita,,,,,,,,,,,POCUER_Procas_sp,
,,ADCACI_Therates_sp,,,,POCHCH_Chrysolina_diluta,,,POTETE_Tribolium_anaphe,POSCRU_Anomala_varicolor,,,,,,,,,,,POCUER_Tanysphyrus_lemnae,
,,ADCAHA_Abacetus_sp,,,,POCHCH_Chrysolina_fastuosa,,,POTETE_Tribolium_audax,POSCRU_Mimela_sp,,,,,,,,,,,POCUMO_Acalles_camelus,
,,ADCAHA_Abax_ovalis,,,,POCHCH_Chrysolina_femoralis,,,POTETE_Tribolium_brevicornis,POSCRU_Phyllopertha_sp,,,,,,,,,,,POCUMO_Acalles_echinatus,
,,ADCAHA_Abax_parallelepipedus,,,,POCHCH_Chrysolina_gemina,,,POTETE_Tribolium_castaneum,POSCRU_Popillia_japonica,,,,,,,,,,,POCUMO_Adexius_scrobipennis,
,,ADCAHA_Acinopus_picipes,,,,POCHCH_Chrysolina_geminata,,,POTETE_Tribolium_confusum,POSCSC_Bolbites_onitoides,,,,,,,,,,,POCUMO_Hylobius_abietis,
,,ADCAHA_Agonum_marginatum,,,,POCHCH_Chrysolina_graminis,,,POTETE_Tribolium_destructor,POSCSC_Bubas_bison,,,,,,,,,,,POCUMO_Hylobius_piceus,
,,ADCAHA_Agonum_muelleri,,,,POCHCH_Chrysolina_grossa,,,POTETE_Tribolium_freemani,POSCSC_Bubas_bubalus,,,,,,,,,,,POCUMO_Larinus_sp,
,,ADCAHA_Amara_sp,,,,POCHCH_Chrysolina_haemoptera,,,POTETE_Tribolium_madens,POSCSC_Caccobius_schreberi,,,,,,,,,,,POCUMO_Lepyrus_sp,
,,ADCAHA_Amblystomus_sp,,,,POCHCH_Chrysolina_herbacea,,,POTETE_Uloma_sp,POSCSC_Canthidium_sp,,,,,,,,,,,POCUMO_Lixus_sp,
,,ADCAHA_Amphasia_sericea,,,,POCHCH_Chrysolina_lucida,,,,POSCSC_Canthon_indigaceus,,,,,,,,,,,POCUMO_Magdalis_sp,
,,ADCAHA_Anisodactylus_hispanus,,,,POCHCH_Chrysolina_marginata,,,,POSCSC_Cheironitis_sp,,,,,,,,,,,POCUMO_Pachylobius_picivorus,
,,ADCAHA_Anisodactylus_virens,,,,POCHCH_Chrysolina_obsoleta,,,,POSCSC_Copris_lugubris,,,,,,,,,,,POCUMO_Pissodes_nemorensis,
,,ADCAHA_Anthia_sp,,,,POCHCH_Chrysolina_peregrina,,,,POSCSC_Copris_sinicus,,,,,,,,,,,POCUMO_Pissodes_schwarzi_M,
,,ADCAHA_Apenes_sp,,,,POCHCH_Chrysolina_polita,,,,POSCSC_Coprophanaeus_sp,,,,,,,,,,,POCUMO_Pissodes_strobi,
