suborder,family,genus,chrom.num
Adephaga,Carabidae,Euthenarus,26
Adephaga,Carabidae,Licinus,30
Adephaga,Carabidae,Platynus,36.26666667
Adephaga,Carabidae,Dyschirus,28
Adephaga,Carabidae,Calosoma,27.85714286
Adephaga,Carabidae,Perileptus,27
Adephaga,Carabidae,Poecilus,37.40909091
Adephaga,Carabidae,Neocollyris,27.25
Adephaga,Carabidae,Ropaloteres,27
Adephaga,Carabidae,Epaphius,28
Adephaga,Carabidae,Notagonum,28
Adephaga,Carabidae,Pterostichus,35.87931034
Adephaga,Carabidae,Philophloeus,29
Adephaga,Carabidae,Oxycheila,29
Adephaga,Carabidae,Amphasia,32.5
Adephaga,Carabidae,Notonomus,34.94117647
Adephaga,Carabidae,Amblytelus,30
Adephaga,Carabidae,Ceroglossus,37.66666667
Adephaga,Carabidae,Galerita,30
Adephaga,Carabidae,Harpalus,36.74193548
Adephaga,Carabidae,Tachys,30
Adephaga,Carabidae,Teraphis,30
Adephaga,Carabidae,Zuphium,30
Adephaga,Carabidae,Agonini,33
Adephaga,Carabidae,Nebria,41
Adephaga,Carabidae,Platynini,33
Adephaga,Carabidae,Platytarus,30
Adephaga,Carabidae,Pristonychus,30
Adephaga,Carabidae,Elaphrus,32
Adephaga,Carabidae,Lebia,32
Adephaga,Carabidae,Microlestes,31
Adephaga,Carabidae,Drypta,33
Adephaga,Carabidae,Aptinus,32
Adephaga,Carabidae,Blethsia,32
Adephaga,Carabidae,Penetretus,32.75
Adephaga,Carabidae,Simodontus,33
Adephaga,Carabidae,Lionychus,33
Adephaga,Carabidae,Lionyehus,33
Adephaga,Carabidae,Sarothrocrepis,33
Adephaga,Carabidae,Syntomus,40
Adephaga,Carabidae,Curtonotus,39.66666667
Adephaga,Carabidae,Eudalia,33
Adephaga,Carabidae,Loxandrus,34.33333333
Adephaga,Carabidae,Agonum,36.5
Adephaga,Carabidae,Colfax,34
Adephaga,Carabidae,Macrocheilus,34
Adephaga,Carabidae,Orthomus,34
Adephaga,Carabidae,Percosoma,34
Adephaga,Carabidae,Eutrichopus,34
Adephaga,Carabidae,Sarticus,40
Adephaga,Carabidae,Abax,35
Adephaga,Carabidae,Anthia,35
Adephaga,Carabidae,Demetrias,39.5
Adephaga,Carabidae,Eurylichnus,35
Adephaga,Carabidae,Masoreus,35
Adephaga,Carabidae,Prosopogmus,35
Adephaga,Carabidae,Bradybaenus,36.5
Adephaga,Carabidae,Omophron,36
Adephaga,Carabidae,Omus,36
Adephaga,Carabidae,Apenes,36
Adephaga,Carabidae,Sericoda,36
Adephaga,Carabidae,Sphodrus,36
Adephaga,Carabidae,Omaseidius,37
Adephaga,Carabidae,Acinopus,37
Adephaga,Carabidae,Angoleus,37.66666667
Adephaga,Carabidae,Anisodactylus,37
Adephaga,Carabidae,Anomoglossus,37
Adephaga,Carabidae,Cryptophonus,37
Adephaga,Carabidae,Daptus,37
Adephaga,Carabidae,Dinodes,37
Adephaga,Carabidae,Diplocheila,38.75
Adephaga,Carabidae,Diplous,37
Adephaga,Carabidae,Eucryptotrichus,37
Adephaga,Carabidae,Euleptus,37
Adephaga,Carabidae,Haptoderus,37
Adephaga,Carabidae,Lestichus,37
Adephaga,Carabidae,Melanius,41.90909091
Adephaga,Carabidae,Nesarpalus,37
Adephaga,Carabidae,Notiobia,38.33333333
Adephaga,Carabidae,Omaseus,37.8
Adephaga,Carabidae,Ophonus,37
Adephaga,Carabidae,Orthotrichus,37
Adephaga,Carabidae,Oxypselaphus,37
Adephaga,Carabidae,Paranchus,37
Adephaga,Carabidae,Parophonus,39
Adephaga,Carabidae,Phaenaulax,37
Adephaga,Carabidae,Pterophilus,37
Adephaga,Carabidae,Sphallomorpha,37
Adephaga,Carabidae,Stomis,37
Adephaga,Carabidae,Trichotichnus,37
Adephaga,Carabidae,Dicheirotrichus,37
Adephaga,Carabidae,Scybalicus,37
Adephaga,Carabidae,Setalis,37
Adephaga,Carabidae,Loxoncus,38
Adephaga,Carabidae,Mantichora,38
Adephaga,Carabidae,Egadroma,39
Adephaga,Carabidae,Risophilus,39
Adephaga,Carabidae,Trichocellus,39
Adephaga,Carabidae,Laemostenus,40
Adephaga,Carabidae,Platymetopus,40
Adephaga,Carabidae,Syrdenus,40
Adephaga,Carabidae,Odontocarus,40
Adephaga,Carabidae,Abacetus,41
Adephaga,Carabidae,Olisthopus,41
Adephaga,Carabidae,Anchomenidius,43
Adephaga,Carabidae,Mystropomus,43
Adephaga,Carabidae,Amblycheila,44
Adephaga,Carabidae,Anchomenus,44
Adephaga,Carabidae,Siagona,45.33333333
Adephaga,Carabidae,Baudia,45
Adephaga,Carabidae,Dixus,56.33333333
Adephaga,Carabidae,Promecoderus,46
Adephaga,Carabidae,Styracoderus,45
Adephaga,Carabidae,Trichosternus,50
Adephaga,Carabidae,Arthropterus,46
Adephaga,Carabidae,Zabrus,55.8
Adephaga,Carabidae,Siagonyx,48
Adephaga,Carabidae,Castelnaudi,51
Adephaga,Carabidae,Dicrochile,55
Adephaga,Carabidae,Carterus,57
Adephaga,Carabidae,Ditomus,58
Adephaga,Carabidae,Percus,60
Adephaga,Carabidae,Trymosternus,62
Adephaga,Dytiscidae,Platambus,19
Adephaga,Dytiscidae,Cybister,38.8
Adephaga,Dytiscidae,Deronectes,44
Adephaga,Dytiscidae,Hydrovatus,33
Adephaga,Dytiscidae,Ilybius,35
Adephaga,Dytiscidae,Dytiscus,37.75
Adephaga,Dytiscidae,Hydroporus,35
Adephaga,Dytiscidae,Colymbetes,42.03333333
Adephaga,Dytiscidae,Unidentified,37
Adephaga,Dytiscidae,Agabus,42.4
Adephaga,Dytiscidae,Hydaticus,42.33333333
Adephaga,Dytiscidae,Rhantus,43.28571429
Adephaga,Dytiscidae,Eretes,43
Adephaga,Dytiscidae,Nebrioporus,49
Adephaga,Dytiscidae,Trichonectes,49
Adephaga,Dytiscidae,Boreonectes,55.66666667
Adephaga,Dytiscidae,Scarodytes,55
Adephaga,Dytiscidae,Stictotarsus,57.6
Polyphaga,Anobiidae,Stegobium,17
Polyphaga,Anobiidae,Ptinus,18
Polyphaga,Anobiidae,Gibbium,18
Polyphaga,Anobiidae,Lasioderma,18
Polyphaga,Anobiidae,Ernobius,22
Polyphaga,Anthicidae,Notoxus,18
Polyphaga,Anthribidae,Araecerus,22
Polyphaga,Anthribidae,Euparius,35.5
Polyphaga,Anthribidae,Habrissus,22
Polyphaga,Anthribidae,Platystomos,22
Polyphaga,Anthribidae,Ptychoderes,22
Polyphaga,Anthribidae,Tropideres,22.5
Polyphaga,Attelabidae,Apoderus,29.14285714
Polyphaga,Attelabidae,Deporaus,25
Polyphaga,Attelabidae,Pissodes,30.19354839
Polyphaga,Attelabidae,Centrocorynus,28
Polyphaga,Attelabidae,Auletobius,32
Polyphaga,Attelabidae,Liparus,32
Polyphaga,Attelabidae,Rhynchites,35.5
Polyphaga,Bostrichidae,Rhizopertha,18
Polyphaga,Bostrichidae,Bostrychopsis,20
Polyphaga,Bostrichidae,Sinoxylon,20
Polyphaga,Bostrichidae,Apate,22
Polyphaga,Brentidae,Brentus,12
Polyphaga,Brentidae,Nemocephalus,12
Polyphaga,Brentidae,Proepisphales,12
Polyphaga,Brentidae,Pseudorychoides,12
Polyphaga,Brentidae,Trachelizus,12
Polyphaga,Brentidae,Apion,22
Polyphaga,Brentidae,Ceratapion,22
Polyphaga,Brentidae,Cylas,22
Polyphaga,Brentidae,Eutrichapion,22
Polyphaga,Brentidae,Nanophyes,22
Polyphaga,Brentidae,Oxystoma,22
Polyphaga,Brentidae,Rhopalapion,22
Polyphaga,Brentidae,Squamapion,22
Polyphaga,Brentidae,Aplemonus,26
Polyphaga,Buprestidae,Melanophila,14.66666667
Polyphaga,Buprestidae,Capnodis,17
Polyphaga,Buprestidae,Anthaxia,16
Polyphaga,Buprestidae,Chrysobothris,16
Polyphaga,Buprestidae,Sphaerobothris,16
Polyphaga,Buprestidae,Acmaeodera,18.57142857
Polyphaga,Buprestidae,Agrilus,20.57142857
Polyphaga,Buprestidae, Spruce,21
Polyphaga,Buprestidae,Dicera,20
Polyphaga,Buprestidae,Dicerca,20
Polyphaga,Buprestidae,Ovalisia,20
Polyphaga,Buprestidae,Perotis,20
Polyphaga,Buprestidae,Themognatha,21.75
Polyphaga,Buprestidae,Buprestis,20
Polyphaga,Buprestidae,Chalcophora,21
Polyphaga,Buprestidae,Castiarina,22
Polyphaga,Buprestidae,Coraebus,23
Polyphaga,Buprestidae,Meliboeus,22
Polyphaga,Buprestidae,Stigmodera,22
Polyphaga,Buprestidae,Julodis,25.33333333
Polyphaga,Buprestidae,Sphenoptera,30.66666667
Polyphaga,Buprestidae,Euchroma,29.33333333
Polyphaga,Buprestidae,Julodella,26
Polyphaga,Buprestidae,Stenocera,26
Polyphaga,Buprestidae,Sternocera,26
Polyphaga,Byrrhidae,Byrrhus,18
Polyphaga,Byrrhidae,Cytilus,18
Polyphaga,Cantharidae,Malthodes,11
Polyphaga,Cantharidae,Cantharis,14.75
Polyphaga,Cantharidae,Chauliognathus,13
Polyphaga,Cantharidae,Rhagonycha,13
Polyphaga,Cantharidae,Silis,13
Polyphaga,Cantharidae,Telephorus,13
Polyphaga,Cantharidae,Tylocerus,13
Polyphaga,Cerambycidae,Plocaederus,10
Polyphaga,Cerambycidae,Gonocallus,14
Polyphaga,Cerambycidae,Aeloesthes,18
Polyphaga,Cerambycidae,Elaphidion,18
Polyphaga,Cerambycidae,Olenocamptus,18
Polyphaga,Cerambycidae,Dilus,18
Polyphaga,Cerambycidae,Monochamus,21
Polyphaga,Cerambycidae,Oncideres,19
Polyphaga,Cerambycidae,Stromatium,19
Polyphaga,Cerambycidae,Agapanthia,20
Polyphaga,Cerambycidae,Anisarthron,20
Polyphaga,Cerambycidae,Leptura,20
Polyphaga,Cerambycidae,Rhagium,20
Polyphaga,Cerambycidae,Anaflus,20
Polyphaga,Cerambycidae,Asemum,20
Polyphaga,Cerambycidae,Batocera,20
Polyphaga,Cerambycidae,Cerambyx,20
Polyphaga,Cerambycidae,Chlorophorus,20
Polyphaga,Cerambycidae,Clytus,20
Polyphaga,Cerambycidae,Compsa,20
Polyphaga,Cerambycidae,Criocephalus,20
Polyphaga,Cerambycidae,Cyllene,20
Polyphaga,Cerambycidae,Cyrtoclytus,20
Polyphaga,Cerambycidae,Eburia,20
Polyphaga,Cerambycidae,Epiglenea,20
Polyphaga,Cerambycidae,Eutrapha,20
Polyphaga,Cerambycidae,Glenea,20
Polyphaga,Cerambycidae,Graphisurus,20
Polyphaga,Cerambycidae,Leptostylus,20
Polyphaga,Cerambycidae,Mesosa,20.4
Polyphaga,Cerambycidae,Molorchus,20
Polyphaga,Cerambycidae,Oberea,20
Polyphaga,Cerambycidae,Phaea,20
Polyphaga,Cerambycidae,Phymatodes,20
Polyphaga,Cerambycidae,Phytoecia,20
Polyphaga,Cerambycidae,Plagionotus,20
Polyphaga,Cerambycidae,Pogonocherus,20.33333333
Polyphaga,Cerambycidae,Psenocerus,20
Polyphaga,Cerambycidae,Pterolophia,20.33333333
Polyphaga,Cerambycidae,Pyrestes,20
Polyphaga,Cerambycidae,Saperda,20
Polyphaga,Cerambycidae,Saphanus,20
Polyphaga,Cerambycidae,Stenostola,20
Polyphaga,Cerambycidae,Stenygra,20
Polyphaga,Cerambycidae,Stenygrinum,20
Polyphaga,Cerambycidae,Tetraopes,20
Polyphaga,Cerambycidae,Tetropium,22.5
Polyphaga,Cerambycidae,Tetrops,20
Polyphaga,Cerambycidae,Trichophorus,20
Polyphaga,Cerambycidae,Xylotrechus,20
Polyphaga,Cerambycidae,Aegosoma,20
Polyphaga,Cerambycidae,Distenia,20
Polyphaga,Cerambycidae,Dorcadion,21.33333333
Polyphaga,Cerambycidae,Rosalia,20
Polyphaga,Cerambycidae,Vadonia,20
Polyphaga,Cerambycidae,Anaesthetis,22
Polyphaga,Cerambycidae,Obrium,22
Polyphaga,Cerambycidae,Acanthocinus,23.33333333
Polyphaga,Cerambycidae,Acmaeops,22
Polyphaga,Cerambycidae,Apomecyna,22
Polyphaga,Cerambycidae,Callidium,22
Polyphaga,Cerambycidae,Exocentrus,23.33333333
Polyphaga,Cerambycidae,Gaurotes,22
Polyphaga,Cerambycidae,Liopus,22
Polyphaga,Cerambycidae,Nusphera,22
Polyphaga,Cerambycidae,Trachyderes,27
Polyphaga,Cerambycidae,Acalolepta,22.66666667
Polyphaga,Cerambycidae,Dihammus,23
Polyphaga,Cerambycidae,Ergates,22
Polyphaga,Cerambycidae,Mecynippus,22
Polyphaga,Cerambycidae,Mesechthistatus,22
Polyphaga,Cerambycidae,Rhopalopus,22
Polyphaga,Cerambycidae,Lagochirus,24
Polyphaga,Cerambycidae,Morimus,24
Polyphaga,Cerambycidae,Chloridolum,24
Polyphaga,Cerambycidae,Leiopus,24
Polyphaga,Cerambycidae,Prionus,24
Polyphaga,Cerambycidae,Callipogon,26
Polyphaga,Cerambycidae,Stenodontes,26
Polyphaga,Cerambycidae,Leontium,26
Polyphaga,Cerambycidae,Plectura,26
Polyphaga,Cerambycidae,Derancistrus,28
Polyphaga,Cerambycidae,Macrotoma,28
Polyphaga,Cerambycidae,Purpuricenus,28
Polyphaga,Cerambycidae,Steirastoma,28
Polyphaga,Cerambycidae,Anoplophora,30
Polyphaga,Cerambycidae,Spondylis,30
Polyphaga,Cerambycidae,Compsocerus,32
Polyphaga,Cerambycidae,Palimna,32
Polyphaga,Cerambycidae,Uraecha,32
Polyphaga,Cerambycidae,Xenolea,32
Polyphaga,Cerambycidae,Apriona,36
Polyphaga,Cerambycidae,Vesperus,53
Polyphaga,Chrysomelidae,Homoschema,9.5
Polyphaga,Chrysomelidae,Apraea,11
Polyphaga,Chrysomelidae,Alagoasa,21.44827586
Polyphaga,Chrysomelidae,Chrysodina,12
Polyphaga,Chrysomelidae,Doryphora,12
Polyphaga,Chrysomelidae,Hispa,15.33333333
Polyphaga,Chrysomelidae,Nodonota,13
Polyphaga,Chrysomelidae,Spintherophyta,12
Polyphaga,Chrysomelidae,Gynandrobrotica,16
Polyphaga,Chrysomelidae,Lema,17.85714286
Polyphaga,Chrysomelidae,Metallactus,15
Polyphaga,Chrysomelidae,Aspidimorpha,17.6
Polyphaga,Chrysomelidae,Bromius,16
Polyphaga,Chrysomelidae,Cassida,20.08823529
Polyphaga,Chrysomelidae,Chalepus,17.5
Polyphaga,Chrysomelidae,Colasposoma,16
Polyphaga,Chrysomelidae,Conchyloctenia,17
Polyphaga,Chrysomelidae,Crioceris,16
Polyphaga,Chrysomelidae,Cryptocephalus,29.87096774
Polyphaga,Chrysomelidae,Dactylispa,16
Polyphaga,Chrysomelidae,Deuteronoda,16
Polyphaga,Chrysomelidae,Dicladispa,16
Polyphaga,Chrysomelidae,Galerucella,32.90909091
Polyphaga,Chrysomelidae,Glyphocassis,17
Polyphaga,Chrysomelidae,Glyptoscelis,18
Polyphaga,Chrysomelidae,Hermaeophaga,16.5
Polyphaga,Chrysomelidae,Macrocoma,16
Polyphaga,Chrysomelidae,Notosacantha,16
Polyphaga,Chrysomelidae,Odontota,16
Polyphaga,Chrysomelidae,Oedionychus,19.6
Polyphaga,Chrysomelidae,Oulema,17.66666667
Polyphaga,Chrysomelidae,Pachybrachus,16
Polyphaga,Chrysomelidae,Paria,16
Polyphaga,Chrysomelidae,Platypria,16
Polyphaga,Chrysomelidae,Polyconia,16
Polyphaga,Chrysomelidae,Sagra,16
Polyphaga,Chrysomelidae,Talurus,16
Polyphaga,Chrysomelidae,Pachybrachis,16
Polyphaga,Chrysomelidae,Amphelsasma,17.66666667
Polyphaga,Chrysomelidae,Oides,33
Polyphaga,Chrysomelidae,Anisodera,18
Polyphaga,Chrysomelidae,Asphaera,23.88235294
Polyphaga,Chrysomelidae,Baliosus,18
Polyphaga,Chrysomelidae,Basiprionota,18
Polyphaga,Chrysomelidae,Caryedon,19
Polyphaga,Chrysomelidae,Chiridopsis,18
Polyphaga,Chrysomelidae,Coptocycla,18
Polyphaga,Chrysomelidae,Craspedonta,18
Polyphaga,Chrysomelidae,Crepidedera,22
Polyphaga,Chrysomelidae,Cteisella,18
Polyphaga,Chrysomelidae,Deloyala,18.66666667
Polyphaga,Chrysomelidae,Epistictina,18
Polyphaga,Chrysomelidae,Estignema,18
Polyphaga,Chrysomelidae,Eurypepla,18
Polyphaga,Chrysomelidae,Exema,18
Polyphaga,Chrysomelidae,Gratiana,18.66666667
Polyphaga,Chrysomelidae,Helocassis,18
Polyphaga,Chrysomelidae,Laccoptera,18.25
Polyphaga,Chrysomelidae,Lasiochila,18
Polyphaga,Chrysomelidae,Metriona,18
Polyphaga,Chrysomelidae,Monolepta,20
Polyphaga,Chrysomelidae,Monoxia,27
Polyphaga,Chrysomelidae,Oxylepus,18
Polyphaga,Chrysomelidae,Rhytidocassis,18
Polyphaga,Chrysomelidae,Sceloenopla,18
Polyphaga,Chrysomelidae,Heikertingerella,20
Polyphaga,Chrysomelidae,Timarcha,22.55
Polyphaga,Chrysomelidae,Callosobruchus,19.90909091
Polyphaga,Chrysomelidae,Diabrotica,19.08333333
Polyphaga,Chrysomelidae,Acalymma,22.81818182
Polyphaga,Chrysomelidae,Paranapiaca,20.33333333
Polyphaga,Chrysomelidae,Paratriarius,21
Polyphaga,Chrysomelidae,Syphraea,22.33333333
Polyphaga,Chrysomelidae,Acanthoscelides,20
Polyphaga,Chrysomelidae,Agathomerus,20
Polyphaga,Chrysomelidae,Bruchidius,20.75
Polyphaga,Chrysomelidae,Bruchus,25.25
Polyphaga,Chrysomelidae,Chaetocnema,22.33333333
Polyphaga,Chrysomelidae,Conicobruchus,20
Polyphaga,Chrysomelidae,Cosmogramma,20
Polyphaga,Chrysomelidae,Eurypedus,20
Polyphaga,Chrysomelidae,Hypolampsis,21
Polyphaga,Chrysomelidae,Lilioceris,20.66666667
Polyphaga,Chrysomelidae,Octotoma,20
Polyphaga,Chrysomelidae,Pachymerus,20
Polyphaga,Chrysomelidae,Parasyphraea,20
Polyphaga,Chrysomelidae,Phanaeta,20
Polyphaga,Chrysomelidae,Psylliodes,31.4
Polyphaga,Chrysomelidae,Typophorus,20.5
Polyphaga,Chrysomelidae,Uroplata,20
Polyphaga,Chrysomelidae,Cerotoma,29
Polyphaga,Chrysomelidae,Chlamisus,21
Polyphaga,Chrysomelidae,Omophoita,22.17647059
Polyphaga,Chrysomelidae,Paranaita,22
Polyphaga,Chrysomelidae,Specularius,22
Polyphaga,Chrysomelidae,Altica,23.88
Polyphaga,Chrysomelidae,Capraita,22
Polyphaga,Chrysomelidae,Cassidinae,22
Polyphaga,Chrysomelidae,Charidotella,22.5
Polyphaga,Chrysomelidae,Chelymorpha,22
Polyphaga,Chrysomelidae,Chrysolina,31.390625
Polyphaga,Chrysomelidae,Colaspis,26
Polyphaga,Chrysomelidae,Diapromorpha,22.66666667
Polyphaga,Chrysomelidae,Eumolpus,22
Polyphaga,Chrysomelidae,Hyphasoma,22
Polyphaga,Chrysomelidae,Merilia,22
Polyphaga,Chrysomelidae,Platyprosopus,22
Polyphaga,Chrysomelidae,Stolas,26
Polyphaga,Chrysomelidae,Walterianella,25
Polyphaga,Chrysomelidae,Epimela,22
Polyphaga,Chrysomelidae,Macrolenes,22
Polyphaga,Chrysomelidae,Calligrapha,23.125
Polyphaga,Chrysomelidae,Aulacoscelis,23
Polyphaga,Chrysomelidae,Isotes,30
Polyphaga,Chrysomelidae,Leptinotarsa,34.05555556
Polyphaga,Chrysomelidae,Zygogramma,25
Polyphaga,Chrysomelidae,Agelastica,24
Polyphaga,Chrysomelidae,Aphthona,28
Polyphaga,Chrysomelidae,Basilepta,26.66666667
Polyphaga,Chrysomelidae,Chrysochus,26.33333333
Polyphaga,Chrysomelidae,Chrysophtharta,24
Polyphaga,Chrysomelidae,Clytra,28
Polyphaga,Chrysomelidae,Coptocephala,24
Polyphaga,Chrysomelidae,Crosita,28
Polyphaga,Chrysomelidae,Desmogramma,24
Polyphaga,Chrysomelidae,Forsterita,24
Polyphaga,Chrysomelidae,Gastrophysa,27.33333333
Polyphaga,Chrysomelidae,Gonioctena,26
Polyphaga,Chrysomelidae,Hemipyxis,24
Polyphaga,Chrysomelidae,Lachnaia,24
Polyphaga,Chrysomelidae,Leucocera,24
Polyphaga,Chrysomelidae,Longitarus,24
Polyphaga,Chrysomelidae,Lysathia,24
Polyphaga,Chrysomelidae,Macrohaltica,24.66666667
Polyphaga,Chrysomelidae,Mesoplatys,24
Polyphaga,Chrysomelidae,Ophraella,30.28571429
Polyphaga,Chrysomelidae,Oreina,24
Polyphaga,Chrysomelidae,Paropsis,24
Polyphaga,Chrysomelidae,Paropsisterna,24
Polyphaga,Chrysomelidae,Philhydronopa,24
Polyphaga,Chrysomelidae,Platyphora,24
Polyphaga,Chrysomelidae,Smaragdina,24
Polyphaga,Chrysomelidae,Sterromela,24
Polyphaga,Chrysomelidae,Strichosa,24
Polyphaga,Chrysomelidae,Zabrotes,26
Polyphaga,Chrysomelidae,Arrhenocoela,26
Polyphaga,Chrysomelidae,Chalcophana,26
Polyphaga,Chrysomelidae,Entomoscelis,26
Polyphaga,Chrysomelidae,Epitrix,26
Polyphaga,Chrysomelidae,Erganoides,26
Polyphaga,Chrysomelidae,Kanarella,26
Polyphaga,Chrysomelidae,Longitarsus,29.2
Polyphaga,Chrysomelidae,Platycorinus,28.33333333
Polyphaga,Chrysomelidae,Yingaresca,33
Polyphaga,Chrysomelidae,Colaphus,27
Polyphaga,Chrysomelidae,Botanochara,39.88888889
Polyphaga,Chrysomelidae,Blaptea,28
Polyphaga,Chrysomelidae,Henicotherus,28
Polyphaga,Chrysomelidae,Jolivetia,28
Polyphaga,Chrysomelidae,Trirhabda,29.8
Polyphaga,Chrysomelidae,Araucanomela,28
Polyphaga,Chrysomelidae,Colaspidema,28
Polyphaga,Chrysomelidae,Cyrtonus,31.375
Polyphaga,Chrysomelidae,Donacia,29.42857143
Polyphaga,Chrysomelidae,Glyptina,28
Polyphaga,Chrysomelidae,Microtheca,28
Polyphaga,Chrysomelidae,Plagiodera,29.5
Polyphaga,Chrysomelidae,Disonycha,43.36363636
Polyphaga,Chrysomelidae,Apophylia,30
Polyphaga,Chrysomelidae,Aulacophora,46.9
Polyphaga,Chrysomelidae,Diphaulaca,30
Polyphaga,Chrysomelidae,Monomacra,31.5
Polyphaga,Chrysomelidae,Phyllotreta,31.33333333
Polyphaga,Chrysomelidae,Xanthogaleruca,30
Polyphaga,Chrysomelidae,Cyrsylus,30
Polyphaga,Chrysomelidae,Mantura,30
Polyphaga,Chrysomelidae,Exora,31
Polyphaga,Chrysomelidae,Labidomera,32.33333333
Polyphaga,Chrysomelidae,Strabala,32
Polyphaga,Chrysomelidae,Blepharida,32
Polyphaga,Chrysomelidae,Chlamydocassis,32
Polyphaga,Chrysomelidae,Dibolia,36
Polyphaga,Chrysomelidae,Genus,32
Polyphaga,Chrysomelidae,Leptispa,32
Polyphaga,Chrysomelidae,Luperodes,32
Polyphaga,Chrysomelidae,Microrhopala,32
Polyphaga,Chrysomelidae,Ophrida,32
Polyphaga,Chrysomelidae,Spermophagus,32
Polyphaga,Chrysomelidae,Systena,32
Polyphaga,Chrysomelidae,Luperus,33
Polyphaga,Chrysomelidae,Chrysomela,34.11111111
Polyphaga,Chrysomelidae,Hilarocassis,34
Polyphaga,Chrysomelidae,Hydrothassa,34
Polyphaga,Chrysomelidae,Linaeidea,34
Polyphaga,Chrysomelidae,Phaedon,34
Polyphaga,Chrysomelidae,Phratora,34
Polyphaga,Chrysomelidae,Lochmaea,34
Polyphaga,Chrysomelidae,Prasocuris,34
Polyphaga,Chrysomelidae,Chirida,36
Polyphaga,Chrysomelidae,Coraia,36
Polyphaga,Chrysomelidae,Pyrrhalta,36
Polyphaga,Chrysomelidae,Podontia,36
Polyphaga,Chrysomelidae,Pataya,38
Polyphaga,Chrysomelidae,Agroiconota,40
Polyphaga,Chrysomelidae,Asiorestia,38
Polyphaga,Chrysomelidae,Galeruca,41.28571429
Polyphaga,Chrysomelidae,Hypocassida,38
Polyphaga,Chrysomelidae,Neocrepidodera,38
Polyphaga,Chrysomelidae,Oocassida,39
Polyphaga,Chrysomelidae,Aedmon,39
Polyphaga,Chrysomelidae,Ambrostoma,40
Polyphaga,Chrysomelidae,Paridea,40
Polyphaga,Chrysomelidae,Podagrica,40
Polyphaga,Chrysomelidae,Diorhabda,40
Polyphaga,Chrysomelidae,Phenrica,44.5
Polyphaga,Chrysomelidae,Sermylassa,44
Polyphaga,Chrysomelidae,Argopus,50
Polyphaga,Chrysomelidae,Sphaeroderma,52
Polyphaga,Ciidae,Cis,14
Polyphaga,Ciidae,Octotemnus,22
Polyphaga,Ciidae,Sulcasis,22
Polyphaga,Cleridae,Enoclerus,18
Polyphaga,Cleridae,Priocera,18
Polyphaga,Cleridae,Thanasimus,18
Polyphaga,Cleridae,Trichodes,18
Polyphaga,Coccinellidae,Epilachna,18.36363636
Polyphaga,Coccinellidae,Mulsantina,16.4
Polyphaga,Coccinellidae,Chilocorus,21.47826087
Polyphaga,Coccinellidae,Hyperaspis,14.25
Polyphaga,Coccinellidae,Cryptognatha,14
