N14	6.90496e-17	8.95215e-16	1.38142e-14	1.98227e-13	2.58921e-12	3.05799e-11	3.24943e-10	3.09328e-09	2.62757e-08	1.98407e-07	1.32669e-06	7.82523e-06	4.05493e-05	0.000183824	0.000725857	0.00248512	0.00734251	0.018631	0.0404	0.0744972	0.116255	0.152824	0.168515	0.155294	0.119252	0.0761531	0.0404026	0.0178116	0.00653334	0.00199864	0.000511587	0.000110012	1.99651e-05	3.07302e-06	4.03231e-07	4.5343e-08	4.39239e-09	3.68426e-10	2.68922e-11	1.7164e-12	9.62413e-14	4.76405e-15	2.09678e-16	8.3952e-18	3.49456e-19	3.41363e-20	
ADDYAG_Ilybius_albarracinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_erichsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_chalconatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	3.77565e-10	2.30927e-09	1.71458e-08	1.21125e-07	7.72657e-07	4.37902e-06	2.19065e-05	9.64002e-05	0.000372268	0.00125908	0.00372304	0.00960906	0.021614	0.0423097	0.0719812	0.106303	0.136129	0.151012	0.145001	0.120429	0.0864703	0.0536557	0.0287669	0.0133257	0.00533421	0.00184581	0.000552419	0.000143095	3.21106e-05	6.24894e-06	1.05595e-06	1.55159e-07	1.98556e-08	2.21672e-09	2.16298e-10	1.84822e-11	1.3858e-12	9.13714e-14	5.30922e-15	2.72477e-16	1.23794e-17	4.99132e-19	1.7928e-20	5.82325e-22	1.91307e-23	1.44641e-24	
N16	9.31035e-15	9.72462e-14	1.28859e-12	1.61215e-11	1.81318e-10	1.80965e-09	1.59428e-08	1.23579e-07	8.4068e-07	5.00753e-06	2.60608e-05	0.000118256	0.000466938	0.00160124	0.00476002	0.0122445	0.0272094	0.0521492	0.0860759	0.122186	0.148982	0.155859	0.139769	0.107358	0.0705906	0.039717	0.0191182	0.00787365	0.00277512	0.000837504	0.000216578	4.80387e-05	9.15046e-06	1.49897e-06	2.11519e-07	2.57578e-08	2.71231e-09	2.47504e-10	1.96178e-11	1.35415e-12	8.16581e-14	4.32351e-15	2.03395e-16	8.83389e-18	4.10382e-19	4.05534e-20	
N17	4.9393e-20	8.88985e-19	2.09417e-17	4.59977e-16	9.02752e-15	1.56992e-13	2.41057e-12	3.25895e-11	3.869e-10	4.02292e-09	3.65398e-08	2.89162e-07	1.98856e-06	1.18535e-05	6.1089e-05	0.000271524	0.00103831	0.00340795	0.00957896	0.0230068	0.0471209	0.0821396	0.121649	0.152823	0.162627	0.146426	0.111447	0.0716582	0.0389098	0.0178414	0.00691018	0.00226203	0.000626396	0.000146916	2.92294e-05	4.94181e-06	7.11514e-07	8.74534e-08	9.2033e-09	8.32461e-10	6.5106e-11	4.45122e-12	2.72227e-13	1.5664e-14	9.61911e-16	1.14544e-16	
N18	3.24618e-23	7.69197e-22	2.44122e-20	7.15008e-19	1.87115e-17	4.35326e-16	8.97667e-15	1.63587e-13	2.6268e-12	3.70551e-11	4.57808e-10	4.93841e-09	4.63662e-08	3.77711e-07	2.66126e-06	1.61664e-05	8.44064e-05	0.000377593	0.00144289	0.0046959	0.0129787	0.0303801	0.0600724	0.100107	0.140294	0.165043	0.162733	0.134328	0.0927529	0.0535546	0.025858	0.0104456	0.00353352	0.00100229	0.000238804	4.78908e-05	8.10363e-06	1.16014e-06	1.40956e-07	1.45862e-08	1.29149e-09	9.8589e-11	6.59904e-12	4.06039e-13	2.68604e-14	3.71278e-15	
N19	4.70884e-34	3.42878e-32	3.10635e-30	2.58692e-28	1.93495e-26	1.29295e-24	7.68939e-23	4.0549e-21	1.88861e-19	7.73691e-18	2.77547e-16	8.67768e-15	2.35278e-13	5.50216e-12	1.10345e-10	1.886e-09	2.72896e-08	3.31884e-07	3.36599e-06	2.82294e-05	0.000193987	0.00108148	0.0048394	0.0171842	0.0478404	0.103132	0.170046	0.212	0.197949	0.137546	0.0709782	0.0272744	0.00785923	0.00171558	0.000287138	3.73259e-05	3.81766e-06	3.11102e-07	2.04402e-08	1.09487e-09	4.83074e-11	1.77265e-12	5.46387e-14	1.44001e-15	3.56761e-17	1.82536e-18	
ADDYAG_Ilybius_quadriguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
