ADCATR_Bembidion_rufotinctum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N25	1.95867e-05	0.00866702	0.276777	0.70641	0.00811653	1.00856e-05	1.47277e-09	5.83743e-14	8.33516e-19	4.83763e-24	1.00007e-29	8.76711e-36	2.20709e-40	1.15634e-43	1.52059e-45	1.20573e-47	3.15375e-50	1.13422e-53	1.23697e-63	1.06767e-64	4.29585e-65	1.51233e-64	1.38639e-66	4.17475e-66	
N26	6.27592e-11	7.50686e-07	0.00172181	0.38847	0.510939	0.0968363	0.00201696	1.49467e-05	5.19149e-08	9.37907e-11	9.0993e-14	4.64834e-17	1.14173e-20	7.86693e-22	2.03617e-22	1.31198e-23	1.98935e-25	1.04233e-28	3.57856e-32	1.10512e-34	5.04546e-35	1.68413e-35	9.59461e-37	2.21689e-37	
ADCATR_Bembidion_rothfelsi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N27	1.02923e-11	1.67941e-07	0.000758462	0.411753	0.50499	0.0824016	9.70015e-05	2.88686e-08	3.17954e-12	1.52913e-16	3.47554e-21	3.82484e-26	1.97954e-31	4.32673e-37	3.13937e-43	1.08649e-49	2.2128e-56	6.18367e-62	2.88062e-66	1.03585e-70	2.79173e-75	7.43345e-80	1.56534e-80	8.8472e-81	
ADCATR_Bembidion_chalceum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N28	2.09149e-13	1.37222e-08	0.000292586	0.997025	0.0026816	6.74437e-07	3.83101e-12	5.91641e-18	3.60729e-24	1.02581e-30	1.4744e-37	1.10527e-44	4.28516e-52	8.04141e-60	6.26139e-68	1.28689e-76	7.85502e-42	2.25498e-43	5.81277e-45	1.35446e-46	8.97585e-47	1.16453e-44	1.19374e-42	8.58688e-41	
ADCATR_Bembidion_bellorum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_louisella	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N29	2.64333e-12	1.13211e-07	0.00114367	0.99883	2.62946e-05	9.86577e-11	1.15201e-16	4.41288e-23	5.82354e-30	2.25957e-37	1.24936e-35	1.64294e-36	1.91627e-37	2.00674e-38	1.90561e-39	1.65442e-40	1.32227e-41	9.7859e-43	6.74028e-44	4.3414e-45	3.50592e-46	3.5608e-45	8.44644e-44	2.36676e-42	
ADCATR_Bembidion_americanum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_bifossulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N30	0.0396456	0.777094	0.182319	0.000941193	3.98893e-07	4.28177e-11	1.78379e-15	3.6087e-20	4.06853e-25	2.80497e-30	1.264e-35	3.91358e-41	8.65362e-47	1.40911e-52	1.73223e-58	1.64077e-64	1.21803e-70	7.19527e-77	2.53778e-82	5.06585e-85	7.85866e-88	7.52219e-91	1.58045e-95	1.18493e-98	
N31	0.00109823	0.121231	0.80281	0.0748058	5.50614e-05	8.39881e-09	4.64797e-13	1.20978e-17	1.72374e-22	1.48583e-27	8.31672e-33	3.18659e-38	8.70513e-44	1.7512e-49	2.66311e-55	3.12841e-61	2.89063e-67	2.13329e-73	1.3071e-79	1.59958e-84	4.80436e-88	9.37911e-92	6.14404e-97	7.24236e-101	
ADCATR_Bembidion_californicum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N32	3.67708e-05	0.0214986	0.894146	0.0843015	1.74766e-05	6.92621e-10	9.51274e-15	5.97024e-20	2.01046e-25	4.03338e-31	5.18726e-37	4.51349e-43	2.76848e-49	1.23621e-55	4.12322e-62	1.0489e-68	2.07032e-75	3.21652e-82	7.57998e-89	1.8885e-92	6.61885e-96	1.4317e-99	9.30619e-105	1.48202e-108	
ADCATR_Bembidion_concolor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_lampros	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N33	0.0497838	0.924615	0.025566	3.48989e-05	1.06502e-08	1.17805e-12	6.04703e-17	1.67417e-21	2.76546e-26	2.92933e-31	2.09993e-36	1.06206e-41	3.9166e-47	1.08153e-52	2.28584e-58	3.81232e-64	1.92304e-69	3.73557e-73	8.56801e-77	3.72822e-79	9.67935e-80	1.81991e-80	2.59556e-82	4.27006e-83	
ADCATR_Bembidion_levettei	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N34	0.000521659	0.973028	0.0264086	4.12597e-05	1.34543e-11	9.27615e-19	1.23066e-24	9.35712e-29	2.56472e-33	2.64484e-35	2.05826e-36	1.42738e-37	8.90697e-39	5.04392e-40	2.61027e-41	1.24161e-42	5.45464e-44	2.22308e-45	1.57531e-46	4.99171e-45	2.60315e-43	9.52816e-42	7.36993e-42	1.92564e-40	
N35	0.000109201	0.400744	0.515717	0.0834283	1.04606e-06	3.41636e-13	8.72043e-21	1.1686e-28	3.13587e-33	9.27566e-38	2.00954e-42	3.31789e-47	4.30168e-52	4.48228e-57	3.82326e-62	2.70946e-67	1.61477e-72	8.17449e-78	3.54439e-83	1.30069e-88	3.17081e-95	5.47097e-98	1.31826e-104	1.50402e-107	
ADCATR_Bembidion_obtusum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_properans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N36	0.000548516	0.978143	0.0212884	1.98995e-05	1.17839e-11	1.92485e-18	7.77251e-26	9.82741e-34	8.02044e-42	6.16705e-47	9.53122e-52	1.18409e-56	1.20426e-61	1.01765e-66	7.2324e-72	4.36629e-77	2.25788e-82	1.00705e-87	3.89659e-93	1.31428e-98	3.87942e-104	1.00368e-109	7.3505e-117	9.9865e-119	
