ADDYAG_Ilybius_vittiger	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_wasastjernae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	6.47078e-24	7.87454e-23	2.02754e-21	5.45289e-20	1.35572e-18	3.03464e-17	6.0694e-16	1.08095e-14	1.71013e-13	2.39807e-12	2.97422e-11	3.25581e-10	3.13927e-09	2.66081e-08	1.97869e-07	1.28858e-06	7.33591e-06	3.6449e-05	0.000157812	0.000594582	0.00194696	0.00553488	0.0136478	0.0291681	0.0540015	0.0865772	0.120181	0.144453	0.150377	0.135642	0.106084	0.071997	0.0424485	0.0217713	0.00973081	0.00379967	0.00130159	0.000394415	0.000107974	2.84838e-05	8.97567e-06	
N18	6.05642e-23	7.54728e-22	1.94171e-20	5.21003e-19	1.29049e-17	2.86535e-16	5.65149e-15	9.86107e-14	1.5178e-12	2.05557e-11	2.44353e-10	2.54353e-09	2.31304e-08	1.83348e-07	1.26409e-06	7.56482e-06	3.9219e-05	0.000175832	0.000680617	0.00227136	0.00652701	0.0161341	0.0342797	0.0625677	0.0980735	0.132012	0.152621	0.151614	0.129501	0.0951917	0.0602835	0.032934	0.0155456	0.00635143	0.00225095	0.000693896	0.00018685	4.43166e-05	9.45989e-06	1.94958e-06	5.0048e-07	
N19	1.06473e-21	1.19259e-20	2.91194e-19	7.36997e-18	1.7013e-16	3.50029e-15	6.37868e-14	1.02607e-12	1.45269e-11	1.80501e-10	1.9628e-09	1.86273e-08	1.53858e-07	1.10314e-06	6.84827e-06	3.67211e-05	0.00016969	0.000674386	0.00230075	0.0067274	0.0168371	0.0360317	0.0658847	0.102895	0.137241	0.156369	0.152279	0.126859	0.0905068	0.0553766	0.0291046	0.0131641	0.00513456	0.00173093	0.000505596	0.000128332	2.84153e-05	5.52786e-06	9.64039e-07	1.62655e-07	3.58336e-08	
ADDYAG_Ilybius_subaeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	8.40248e-28	3.68681e-26	2.97151e-24	2.25599e-22	1.51203e-20	8.84064e-19	4.47958e-17	1.95448e-15	7.2924e-14	2.30936e-12	6.15642e-11	1.36923e-09	2.51567e-08	3.77733e-07	4.58108e-06	4.43087e-05	0.000337183	0.00199056	0.00898855	0.0306379	0.0779582	0.146966	0.20469	0.211112	0.16238	0.0941382	0.0416639	0.0142707	0.00383495	0.000819229	0.000140843	1.97105e-05	2.26905e-06	2.16946e-07	1.73812e-08	1.17675e-09	6.78954e-11	3.3717e-12	1.46295e-13	5.75401e-15	2.72618e-16	
ADDYAG_Ilybius_quadriguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_guttiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	1.01633e-19	1.0834e-18	2.58877e-17	6.31983e-16	1.39416e-14	2.72399e-13	4.68348e-12	7.05244e-11	9.25749e-10	1.05426e-08	1.03648e-07	8.75272e-07	6.31649e-06	3.87575e-05	0.000201202	0.000879549	0.00322379	0.00987001	0.0251644	0.0533106	0.0937258	0.136717	0.165596	0.166839	0.140185	0.098561	0.0582105	0.029004	0.0122479	0.00440418	0.00135503	0.000358424	8.19007e-05	1.62443e-05	2.81029e-06	4.2625e-07	5.70042e-08	6.76766e-09	7.20632e-10	7.12316e-11	8.60411e-12	
ADDYAG_Ilybius_aenescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_fuliginosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	3.76414e-36	1.16853e-34	7.06825e-33	4.25011e-31	2.33978e-29	1.16326e-27	5.20329e-26	2.08952e-24	7.51899e-23	2.41993e-21	6.95285e-20	1.78003e-18	4.05301e-17	8.19225e-16	1.46721e-14	2.32402e-13	3.24978e-12	4.00456e-11	4.34086e-10	4.13215e-09	3.44854e-08	2.51921e-07	1.60845e-06	8.96286e-06	4.35323e-05	0.000184069	0.000676852	0.00216248	0.00599843	0.0144385	0.0301504	0.0546226	0.0858961	0.117374	0.139643	0.145134	0.132496	0.107212	0.078049	0.0523643	0.0335442	
N23	6.9333e-35	1.68021e-33	8.37691e-32	4.23458e-30	1.9707e-28	8.32777e-27	3.18504e-25	1.10032e-23	3.42728e-22	9.60758e-21	2.41944e-19	5.46321e-18	1.1041e-16	1.99339e-15	3.20914e-14	4.59833e-13	5.85371e-12	6.60845e-11	6.60445e-10	5.83299e-09	4.54502e-08	3.11939e-07	1.88289e-06	9.98094e-06	4.64003e-05	0.000188945	0.000673187	0.00209655	0.00570307	0.0135424	0.0280633	0.050752	0.0801424	0.110633	0.133803	0.142304	0.13389	0.112494	0.0856012	0.0601509	0.0399043	
N24	7.01494e-32	1.36043e-30	5.60658e-29	2.35758e-27	9.15217e-26	3.23282e-24	1.03526e-22	2.99871e-21	7.83972e-20	1.84589e-18	3.90563e-17	7.40949e-16	1.25751e-14	1.9049e-13	2.56963e-12	3.07972e-11	3.2719e-10	3.07437e-09	2.54927e-08	1.8614e-07	1.19432e-06	6.72039e-06	3.31019e-05	0.000142477	0.000535048	0.00175067	0.0049851	0.0123425	0.0265518	0.0496099	0.0804937	0.11343	0.138881	0.147846	0.136994	0.110682	0.0782236	0.0486948	0.0271479	0.0141242	0.00752444	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N25	1.1343e-32	2.66138e-31	1.30565e-29	6.35574e-28	2.8305e-26	1.14178e-24	4.15909e-23	1.36481e-21	4.02497e-20	1.06417e-18	2.51616e-17	5.30688e-16	9.95846e-15	1.65829e-13	2.44397e-12	3.17941e-11	3.64131e-10	3.6617e-09	3.22472e-08	2.48071e-07	1.6629e-06	9.69031e-06	4.89803e-05	0.000214301	0.000810091	0.00264142	0.00741878	0.017928	0.0372461	0.0664902	0.101972	0.134374	0.152222	0.148381	0.124647	0.0904734	0.0570161	0.0315114	0.0156237	0.00732684	0.00364402	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N26	1.97176e-26	1.56955e-25	2.92672e-24	6.04134e-23	1.18927e-21	2.1717e-20	3.65589e-19	5.66059e-18	8.04863e-17	1.04943e-15	1.25297e-14	1.36797e-13	1.36382e-12	1.23988e-11	1.02647e-10	7.72813e-10	5.28431e-09	3.2774e-08	1.84143e-07	9.36153e-07	4.30138e-06	1.78432e-05	6.67584e-05	0.000225068	0.000683191	0.00186589	0.00458241	0.0101152	0.0200636	0.0357556	0.0572557	0.0824051	0.10665	0.124205	0.130272	0.123173	0.105106	0.0810982	0.0568619	0.0367764	0.0228161	
N27	7.83369e-37	8.1674e-35	1.4064e-32	2.33473e-30	3.49164e-28	4.63377e-26	5.41853e-24	5.5481e-22	4.94097e-20	3.79895e-18	2.50086e-16	1.39647e-14	6.54469e-13	2.54345e-11	8.08421e-10	2.06846e-08	4.18359e-07	6.5517e-06	7.76365e-05	0.000679434	0.00429237	0.0192505	0.0608482	0.135361	0.211908	0.233358	0.180932	0.0994324	0.0393624	0.0114763	0.00252297	0.000427617	5.69902e-05	6.07492e-06	5.25449e-07	3.73213e-08	2.1978e-09	1.0808e-10	4.45884e-12	1.55282e-13	5.54154e-15	
ADDYAG_Agabus_confinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_sturmii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_ramblae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N28	4.12694e-22	2.37555e-21	2.99898e-20	4.43405e-19	6.45495e-18	8.806e-17	1.1093e-15	1.28375e-14	1.36157e-13	1.32138e-12	1.17177e-11	9.48264e-11	6.99429e-10	4.69631e-09	2.86716e-08	1.58975e-07	7.99662e-07	3.64521e-06	1.50432e-05	5.61493e-05	0.000189388	0.000576787	0.00158495	0.00392708	0.00876887	0.0176376	0.0319453	0.0520888	0.0764534	0.101009	0.120135	0.12865	0.124079	0.107815	0.0844388	0.0596463	0.0380634	0.0220451	0.0117441	0.00596992	0.00315619	
ADDYAG_Platambus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N29	1.61063e-29	5.24007e-28	3.25261e-26	1.9972e-24	1.11372e-22	5.54284e-21	2.44562e-19	9.51825e-18	3.25124e-16	9.69502e-15	2.50942e-13	5.60364e-12	1.07251e-10	1.74723e-09	2.40516e-08	2.77631e-07	2.66642e-06	2.1141e-05	0.000137333	0.000725842	0.00310238	0.0106721	0.0294483	0.0650628	0.11505	0.162955	0.18522	0.16942	0.125166	0.0750266	0.0366805	0.0147136	0.0048736	0.00134192	0.000309223	6.00232e-05	9.87442e-06	1.38444e-06	1.66575e-07	1.76632e-08	2.09127e-09	
ADDYCO_Rhantus_exsoletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N30	5.13146e-38	1.39603e-35	5.4115e-33	1.8443e-30	5.42343e-28	1.36563e-25	2.92087e-23	5.25922e-21	7.89249e-19	9.761e-17	9.82219e-15	7.92514e-13	5.04166e-11	2.47974e-09	9.21597e-08	2.51908e-06	4.9052e-05	0.000655546	0.00576555	0.031967	0.107978	0.219525	0.271131	0.209924	0.106079	0.0363927	0.0087771	0.00153299	0.000198821	1.95586e-05	1.48605e-06	8.8583e-08	4.19984e-09	1.60304e-10	4.97986e-12	1.27175e-13	2.69615e-15	4.79728e-17	7.27927e-19	9.73238e-21	1.43028e-22	
ADDYCO_Colymbetes_striatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYCO_Colymbetes_paykulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N31	6.16213e-18	2.04388e-17	1.51317e-16	1.39615e-15	1.31034e-14	1.17186e-13	9.77852e-13	7.55855e-12	5.39656e-11	3.55348e-10	2.15574e-09	1.20383e-08	6.18323e-08	2.91889e-07	1.26551e-06	5.03575e-06	1.83796e-05	6.14924e-05	0.000188485	0.000529031	0.00135902	0.00319392	0.00686444	0.0134871	0.0242174	0.0397293	0.0595331	0.0814646	0.101776	0.116063	0.120785	0.114678	0.099303	0.0783981	0.0564104	0.0369893	0.0221217	0.0121136	0.00615229	0.00300733	0.00154886	
N32	6.24515e-18	2.34042e-17	1.9202e-16	1.90498e-15	1.90337e-14	1.80471e-13	1.59002e-12	1.29128e-11	9.6328e-11	6.58863e-10	4.12683e-09	2.36477e-08	1.2386e-07	5.92516e-07	2.58681e-06	1.02996e-05	3.73748e-05	0.000123532	0.00037169	0.00101756	0.00253351	0.00573447	0.0117956	0.0220433	0.0374156	0.057672	0.0807137	0.102554	0.11829	0.123858	0.11773	0.101596	0.0796133	0.0566753	0.036684	0.0216263	0.0116522	0.00577862	0.00267933	0.00120724	0.000584393	
ADDYHY_Nebrioporus_lanceolatus_M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYHY_Stictotarsus_griseostriatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYHY_Hydroporus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYHY_Hydrovatus_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
