POTEPI_Pimelia_sparsa_sparsa	0	1	0	0	0	0	
POTEPI_Pimelia_lutaria	0	1	0	0	0	0	
N52	1.5344e-11	0.0129577	0.987042	6.93015e-25	1.18732e-46	1.1178e-56	
POTEPI_Pimelia_estevezi	0	0	1	0	0	0	
N53	8.46928e-14	0.00135721	0.998643	1.7738e-25	3.95172e-51	2.78987e-77	
POTEPI_Pimelia_granulicollis	0	0	1	0	0	0	
POTEPI_Pimelia_fernandezlopezi	0	0	1	0	0	0	
POTEPI_Pimelia_echidna	0	0	1	0	0	0	
N54	6.00104e-06	0.999994	3.88794e-23	1.88988e-46	2.71648e-70	2.04617e-94	
POTEPI_Pimelia_monticola	0	1	0	0	0	0	
POTEPI_Pimelia_scabrosa	0	1	0	0	0	0	
N55	7.20902e-06	0.999993	1.03171e-11	2.90978e-35	1.25913e-59	2.48062e-77	
N56	7.33052e-07	0.999999	1.05541e-11	6.25143e-24	6.27194e-48	5.51962e-42	
POTEPI_Pimelia_integra	0	0	0	1	0	0	
N57	2.47489e-07	1	1.76159e-22	1.0379e-45	5.11481e-70	8.64005e-95	
POTEPI_Pimelia_costata	0	1	0	0	0	0	
N58	7.71425e-09	1	9.06154e-25	1.02555e-49	6.89406e-57	6.88391e-68	
N59	7.0862e-10	1	2.15504e-25	5.79982e-51	4.82115e-77	2.65392e-112	
POTEPI_Pimelia_interjecta	0	1	0	0	0	0	
POTEPI_Pimelia_criba	0	1	0	0	0	0	
POTEPI_Pimelia_elevata	0	1	0	0	0	0	
N60	9.82092e-07	0.4897	0.510299	6.30226e-24	1.2981e-47	1.11028e-71	
POTEPI_Pimelia_baetica	0	0	1	0	0	0	
POTEPI_Pimelia_variolosa	0	0	1	0	0	0	
N61	0.0016323	0.998368	5.51843e-23	3.83021e-46	7.79068e-70	1.35975e-63	
POTEAL_Alleculinae_sp	0	1	0	0	0	0	
N62	0.00070584	0.999294	1.56385e-23	3.06163e-47	1.75662e-71	5.67753e-96	
POTEDI_Diaperis_boleti	0	1	0	0	0	0	
POTETE_Uloma_sp	0	1	0	0	0	0	
